,Mutation,Brca_odds,Brca_pvalue
5737,MYH10,2.327272727272727,0.5984283972361519
5738,MYH11,1.1454545454545455,1.0
5739,MYH13,1.1428571428571428,1.0
5740,MYH14,1.1454545454545455,1.0
5741,MYH15,1.75,0.6636887873164217
5742,MYH2,3.5555555555555554,0.3385879483889501
5743,MYH4,inf,0.2162308630266921
5744,MYH6,2.327272727272727,0.5984283972361519
5745,MYH7,1.1428571428571428,1.0
5746,MYH7B,inf,0.09910581222056716
5747,MYH8,1.1428571428571428,1.0
5748,MYH9,1.75,0.6636887873164217
5749,MYL1,inf,0.46721311475409544
5750,MYL10,inf,0.2162308630266921
5751,MYL2,inf,0.46721311475409544
5752,MYLIP,1.1428571428571428,1.0
5753,MYLK,1.1428571428571428,1.0
5754,MYLK2,2.327272727272727,0.5984283972361519
5755,MYLK3,0.0,1.0
5756,MYLPF,inf,0.46721311475409544
5757,MYNN,0.0,1.0
5758,MYO10,inf,0.2162308630266921
5759,MYO15A,0.5625,1.0
5760,MYO15B,inf,0.46721311475409544
5761,MYO16,1.1454545454545455,1.0
5762,MYO18A,2.327272727272727,0.5984283972361519
5763,MYO18B,0.5625,1.0
5764,MYO19,1.1428571428571428,1.0
5765,MYO1A,inf,0.46721311475409544
5766,MYO1B,1.1428571428571428,1.0
5767,MYO1E,1.1428571428571428,1.0
5768,MYO1F,inf,0.2162308630266921
5769,MYO1G,inf,0.46721311475409544
5770,MYO1H,inf,0.46721311475409544
5771,MYO3A,inf,0.2162308630266921
5772,MYO3B,0.5625,1.0
5773,MYO5B,inf,0.46721311475409544
5774,MYO5C,1.1428571428571428,1.0
5775,MYO6,2.327272727272727,0.5984283972361519
5776,MYO7A,inf,0.09910581222056716
5777,MYO7B,1.75,0.6636887873164217
5778,MYO9A,inf,0.09910581222056716
5779,MYO9B,inf,0.2162308630266921
5780,MYOC,0.5625,1.0
5781,MYOCD,inf,0.2162308630266921
5782,MYOF,2.327272727272727,0.5984283972361519
5783,MYOM1,1.1428571428571428,1.0
5784,MYOM2,inf,0.46721311475409544
5785,MYOM3,1.1428571428571428,1.0
5786,MYOT,0.0,0.498035496545188
5787,MYOZ3,inf,0.46721311475409544
5788,MYPN,inf,0.46721311475409544
5789,MYPOP,0.0,1.0
5790,MYRF,inf,0.09910581222056716
5791,MYRFL,0.0,0.498035496545188
5792,MYRIP,1.1428571428571428,1.0
5793,MYT1,inf,0.46721311475409544
5794,MYT1L,inf,0.46721311475409544
5795,MZF1,inf,0.2162308630266921
5796,MZT2B,0.0,1.0
5797,N4BP1,1.1428571428571428,1.0
5798,N4BP2,1.1428571428571428,1.0
5799,N4BP2L2,inf,0.46721311475409544
5800,NAA10,inf,0.46721311475409544
5801,NAA11,inf,0.2162308630266921
5802,NAA15,0.0,1.0
5803,NAA30,inf,0.46721311475409544
5804,NAA35,inf,0.46721311475409544
5805,NAAA,inf,0.46721311475409544
5806,NAALADL1,inf,0.2162308630266921
5807,NAALADL2,1.1428571428571428,1.0
5808,NABP2,0.0,1.0
5809,NACA,inf,0.46721311475409544
5810,NACA2,inf,0.2162308630266921
5811,NACAD,1.1454545454545455,1.0
5812,NACC2,1.1428571428571428,1.0
5813,NADK,inf,0.46721311475409544
5814,NADK2,inf,0.46721311475409544
5815,NAGA,0.0,1.0
5816,NAIF1,0.0,1.0
5817,NALCN,1.1454545454545455,1.0
5818,NAMPTL,inf,0.46721311475409544
5819,NANOG,inf,0.46721311475409544
5820,NANOGNB,inf,0.46721311475409544
5821,NANOS3,1.1428571428571428,1.0
5822,NAP1L2,1.1428571428571428,1.0
5823,NAP1L4,inf,0.46721311475409544
5824,NAP1L5,0.0,1.0
5825,NAPRT1,inf,0.46721311475409544
5826,NAPSA,0.0,1.0
5827,NARFL,inf,0.46721311475409544
5828,NARG2,0.0,0.498035496545188
5829,NAT14,0.0,1.0
5830,NAT16,inf,0.2162308630266921
5831,NAT2,inf,0.46721311475409544
5832,NAT8,inf,0.46721311475409544
5833,NAT8L,inf,0.46721311475409544
5834,NAV2,0.36904761904761907,0.622050256222261
5835,NAV3,1.1454545454545455,1.0
5836,NBAS,2.327272727272727,0.5984283972361519
5837,NBEA,4.830188679245283,0.18391148192058612
5838,NBEAL1,0.0,1.0
5839,NBEAL2,inf,0.46721311475409544
5840,NBN,0.0,1.0
5841,NBPF1,1.1481481481481481,1.0
5842,NBPF10,2.327272727272727,0.5984283972361519
5843,NBPF12,1.1428571428571428,1.0
5844,NBPF13P,inf,0.46721311475409544
5845,NBPF14,2.327272727272727,0.5984283972361519
5846,NBPF15,1.1428571428571428,1.0
5847,NBPF16,1.1428571428571428,1.0
5848,NBPF20,1.1428571428571428,1.0
5849,NBPF3,inf,0.46721311475409544
5850,NBPF6,1.1428571428571428,1.0
5851,NBPF9,0.0,1.0
5852,NBR1,inf,0.2162308630266921
5853,NCAM1,inf,0.2162308630266921
5854,NCAM2,1.1454545454545455,1.0
5855,NCAN,inf,0.2162308630266921
5856,NCAPD2,inf,0.46721311475409544
5857,NCAPD3,0.0,0.498035496545188
5858,NCAPG2,inf,0.46721311475409544
5859,NCBP2,0.0,1.0
5860,NCF2,inf,0.46721311475409544
5861,NCF4,2.327272727272727,0.5984283972361519
5862,NCKAP1,1.1454545454545455,1.0
5863,NCKAP1L,inf,0.46721311475409544
5864,NCKAP5,1.1428571428571428,1.0
5865,NCKAP5L,inf,0.46721311475409544
5866,NCKIPSD,0.0,1.0
5867,NCLN,inf,0.46721311475409544
5868,NCOA1,0.0,0.498035496545188
5869,NCOA2,0.5625,1.0
5870,NCOA3,inf,0.46721311475409544
