Name,amplifications,neutral,deletions,average
SAMD10,22.0,83.0,4.0,0.15564220183486235
SAMD11,2.0,95.0,12.0,-0.018149541284403676
SAMD12,27.0,79.0,3.0,0.18629174311926608
SAMD13,1.0,92.0,16.0,-0.05312110091743119
SAMD14,6.0,101.0,2.0,0.10305779816513762
SAMD15,10.0,95.0,4.0,0.04222293577981651
SAMD3,2.0,82.0,25.0,-0.0960908256880734
SAMD4A,18.0,89.0,2.0,0.09847339449541284
SAMD4B,6.0,89.0,14.0,0.002756880733944955
SAMD5,3.0,80.0,26.0,-0.10142935779816516
SAMD7,6.0,95.0,8.0,0.031027522935779817
SAMD8,4.0,90.0,15.0,-0.050236697247706436
SAMD9,7.0,99.0,3.0,0.06851100917431191
SAMD9L,7.0,99.0,3.0,0.06851100917431191
SAMHD1,5.0,101.0,3.0,0.05516422018348623
SAMM50,2.0,75.0,32.0,-0.11863577981651374
SAMSN1,6.0,88.0,15.0,0.00815596330275231
SAP130,2.0,102.0,5.0,0.008076146788990823
SAP18,2.0,66.0,41.0,-0.1389660550458716
SAP25,8.0,99.0,2.0,0.07743027522935779
SAP30,1.0,94.0,14.0,-0.053266972477064176
SAP30BP,10.0,97.0,2.0,0.10662201834862385
SAP30L,8.0,92.0,9.0,0.014596330275229354
SAPCD1,4.0,101.0,4.0,0.07079357798165138
SAPCD2,0.0,89.0,20.0,-0.08626605504587156
SAR1A,3.0,91.0,15.0,-0.05863761467889908
SAR1B,4.0,91.0,14.0,-0.024725688073394505
SARAF,0.0,73.0,36.0,-0.13778715596330277
SARDH,0.0,89.0,20.0,-0.08380550458715597
SARM1,5.0,97.0,7.0,0.05064128440366972
SARNP,4.0,100.0,5.0,0.002424770642201833
SARS,2.0,84.0,23.0,-0.0763623853211009
SARS2,5.0,91.0,13.0,0.0005651376146789003
SART1,5.0,101.0,3.0,0.05435688073394493
SART3,4.0,98.0,7.0,-0.006165137614678903
SASH1,2.0,80.0,27.0,-0.10849541284403671
SASH3,19.0,84.0,6.0,0.12785045871559633
SASS6,1.0,85.0,23.0,-0.07402201834862382
SAT1,9.0,92.0,8.0,0.04872201834862386
SAT2,0.0,67.0,42.0,-0.17066238532110095
SATB1,0.0,79.0,30.0,-0.11421926605504586
SATB2,1.0,104.0,4.0,-0.006642201834862387
SATL1,9.0,91.0,9.0,0.05818073394495415
SAV1,19.0,89.0,1.0,0.10990733944954127
SAXO1,4.0,70.0,35.0,-0.1156293577981651
SAXO2,3.0,77.0,29.0,-0.10359541284403671
SAYSD1,5.0,99.0,5.0,0.0514743119266055
SBDS,13.0,93.0,3.0,0.08416422018348624
SBF1,2.0,75.0,32.0,-0.1171889908256881
SBF2,2.0,99.0,8.0,-0.013255963302752293
SBK1,7.0,100.0,2.0,0.07637614678899085
SBK2,3.0,87.0,19.0,-0.05651559633027522
SBK3,3.0,87.0,19.0,-0.05651559633027522
SBNO1,4.0,96.0,9.0,-0.010464220183486247
SBNO2,0.0,84.0,25.0,-0.0957220183486239
SBSN,6.0,92.0,11.0,0.01541743119266055
SBSPON,21.0,85.0,3.0,0.13415412844036698
SC5D,3.0,95.0,11.0,-0.0010651376146788975
SCAF1,0.0,87.0,22.0,-0.07140733944954127
SCAF11,3.0,100.0,6.0,-0.008340366972477066
SCAF4,5.0,94.0,10.0,0.002414678899082568
SCAF8,1.0,81.0,27.0,-0.1161752293577982
SCAI,0.0,88.0,21.0,-0.09283577981651375
SCAMP1,5.0,88.0,16.0,-0.041322935779816515
SCAMP2,3.0,78.0,28.0,-0.10357339449541288
SCAMP3,39.0,69.0,1.0,0.24710000000000004
SCAMP4,0.0,83.0,26.0,-0.09856422018348628
SCAMP5,3.0,78.0,28.0,-0.10357339449541288
SCAND1,9.0,96.0,4.0,0.08363302752293571
SCAP,0.0,78.0,31.0,-0.1232412844036697
SCAPER,4.0,77.0,28.0,-0.09702935779816517
SCARA3,0.0,72.0,37.0,-0.14664128440366975
SCARA5,0.0,73.0,36.0,-0.14127155963302757
SCARB1,4.0,95.0,10.0,-0.02037247706422019
SCARB2,3.0,100.0,6.0,-0.02075045871559632
SCARF1,0.0,70.0,39.0,-0.1500889908256881
SCARF2,4.0,84.0,21.0,-0.04691100917431191
SCART1,1.0,92.0,16.0,-0.06913853211009174
SCCPDH,26.0,80.0,3.0,0.17520275229357793
SCD,1.0,88.0,20.0,-0.07699908256880733
SCD5,2.0,97.0,10.0,-0.03979633027522934
SCEL,2.0,78.0,29.0,-0.10047614678899086
SCFD1,23.0,85.0,1.0,0.1507477064220184
SCFD2,5.0,98.0,6.0,0.014744954128440365
SCG2,1.0,103.0,5.0,-0.00956330275229358
SCG3,2.0,76.0,31.0,-0.11627614678899081
SCG5,2.0,68.0,39.0,-0.1377
SCGB1A1,1.0,101.0,7.0,0.00027339449541283683
SCGB1C1,2.0,99.0,8.0,-0.01713302752293577
SCGB1C2,0.0,83.0,26.0,-0.09040183486238532
SCGB1D1,1.0,103.0,5.0,0.006680733944954122
SCGB1D2,1.0,103.0,5.0,0.007591743119266049
SCGB1D4,1.0,102.0,6.0,0.0038844036697247646
SCGB2A1,1.0,103.0,5.0,0.006680733944954122
SCGB2A2,1.0,102.0,6.0,0.0038844036697247646
SCGB2B2,7.0,91.0,11.0,0.012087155963302754
SCGB3A1,13.0,88.0,8.0,0.059977064220183486
SCGB3A2,7.0,92.0,10.0,0.007935779816513765
SCGN,2.0,102.0,5.0,0.04260642201834863
SCHIP1,3.0,94.0,12.0,0.010320183486238529
SCIMP,0.0,69.0,40.0,-0.15847155963302753
SCIN,29.0,78.0,2.0,0.19042201834862385
SCLT1,2.0,94.0,13.0,-0.039633944954128406
SCLY,1.0,102.0,6.0,-0.014439449541284403
SCMH1,6.0,97.0,6.0,0.038566055045871565
SCML1,9.0,92.0,8.0,0.05072293577981652
SCML2,9.0,92.0,8.0,0.050307339449541286
SCML4,0.0,79.0,30.0,-0.1247807339449542
SCN10A,0.0,80.0,29.0,-0.11053394495412842
SCN11A,0.0,80.0,29.0,-0.11053394495412842
SCN1A,1.0,102.0,6.0,0.0032247706422018317
SCN1B,8.0,90.0,11.0,0.01924220183486239
SCN2A,2.0,102.0,5.0,0.009298165137614682
SCN2B,3.0,96.0,10.0,0.0040165137614678915
SCN3A,2.0,102.0,5.0,0.010229357798165141
SCN3B,3.0,95.0,11.0,-0.0004798165137614666
SCN4A,8.0,99.0,2.0,0.10291834862385317
SCN4B,3.0,96.0,10.0,0.0040165137614678915
SCN5A,0.0,80.0,29.0,-0.11299541284403668
SCN7A,1.0,102.0,6.0,0.004797247706422017
