	gain_event	loss_event
C3L-00081	True	False
C3L-00415	True	True
C3L-00445	True	True
C3L-00568	False	False
C3L-00603	False	False
C3L-00904	False	False
C3L-00923	False	False
C3L-00927	False	False
C3L-00965	False	False
C3L-00993	True	True
C3L-01000	True	False
C3L-01285	True	True
C3L-01455	False	False
C3L-01606	True	True
C3L-01663	False	True
C3L-01838	True	False
C3L-01884	False	True
C3L-02127	True	True
C3L-02130	False	False
C3L-02163	False	False
C3L-02164	False	False
C3L-02168	False	False
C3L-02170	False	False
C3L-02349	False	True
C3L-02358	True	False
C3L-02546	True	False
C3L-02552	False	False
C3L-02619	False	False
C3L-02625	False	True
C3L-02627	False	True
C3L-02629	False	False
C3L-02646	False	True
C3L-02648	True	False
C3L-02649	False	True
C3L-02650	False	False
C3L-02660	False	False
C3L-02665	False	True
C3L-02669	False	True
C3L-02891	False	False
C3L-02951	False	False
C3L-02963	True	False
C3L-02964	True	True
C3L-02968	True	True
C3L-02969	False	False
C3L-03272	False	False
C3L-03678	False	True
C3L-03961	False	False
C3L-03962	True	True
C3L-03963	False	False
C3L-03965	False	True
C3L-04013	True	True
C3L-04014	False	False
C3L-04071	False	False
C3L-04391	False	True
C3N-00211	False	False
C3N-00221	False	False
C3N-00247	False	False
C3N-00497	False	False
C3N-00555	False	True
C3N-01017	False	True
C3N-01020	True	False
C3N-01025	False	True
C3N-01028	False	False
C3N-01194	False	False
C3N-01411	False	True
C3N-01846	False	True
C3N-01892	False	True
C3N-01893	False	True
C3N-02252	False	True
C3N-02283	True	True
C3N-02284	False	True
C3N-02285	False	True
C3N-02288	False	False
C3N-02289	False	False
C3N-02300	False	True
C3N-02339	False	True
C3N-02374	True	False
C3N-02375	True	False
C3N-02425	True	True
C3N-02426	True	False
C3N-02434	True	True
C3N-02435	True	False
C3N-02494	False	True
C3N-02523	True	False
C3N-02575	False	True
C3N-02675	False	False
C3N-03051	True	False
C3N-03072	True	False
C3N-03076	True	True
C3N-03092	False	True
C3N-03093	False	True
C3N-03204	False	True
C3N-03424	False	False
C3N-03425	False	False
C3N-03441	False	True
C3N-03486	False	True
C3N-03662	True	True
C3N-03848	False	False
C3N-03851	False	True
C3N-03875	True	False
C3N-03877	True	True
C3N-03880	False	False
C3N-03882	True	True
C3N-03886	False	False
C3N-04124	False	False
C3N-04127	True	False
C3N-04155	False	True
C3N-04162	False	False
