,Mutation,Brca_odds,Brca_pvalue
0,A1CF,inf,1.0
1,A2M,2.9,0.619556572120785
2,A2ML1,0.3010752688172043,0.352808881308924
3,A4GALT,0.0,0.4836065573770462
4,AACS,inf,0.49640970058257533
5,AADACL2,inf,1.0
6,AADACL4,inf,1.0
7,AADAT,inf,1.0
8,AAED1,inf,1.0
9,AAGAB,inf,1.0
10,AAK1,1.901639344262295,1.0
11,AANAT,0.9354838709677419,1.0
12,AAR2,inf,0.49640970058257533
13,AASS,inf,1.0
14,AATK,2.9,0.619556572120785
15,ABAT,inf,1.0
16,ABCA1,inf,0.24461455087386613
17,ABCA10,inf,1.0
18,ABCA12,inf,1.0
19,ABCA13,1.1368421052631579,1.0
20,ABCA2,inf,0.24461455087386613
21,ABCA3,0.9354838709677419,1.0
22,ABCA4,1.901639344262295,1.0
23,ABCA5,inf,1.0
24,ABCA6,inf,0.49640970058257533
25,ABCA7,1.901639344262295,1.0
26,ABCA8,0.9344262295081968,1.0
27,ABCA9,inf,0.24461455087386613
28,ABCB1,0.9354838709677419,1.0
29,ABCB10,inf,1.0
30,ABCB11,inf,0.49640970058257533
31,ABCB4,inf,1.0
32,ABCB5,inf,1.0
33,ABCB6,0.0,0.4836065573770462
34,ABCB7,0.0,0.4836065573770462
35,ABCB8,inf,1.0
36,ABCB9,inf,1.0
37,ABCC1,2.9,0.619556572120785
38,ABCC10,inf,1.0
39,ABCC11,inf,1.0
40,ABCC12,inf,1.0
41,ABCC2,inf,1.0
42,ABCC3,inf,0.49640970058257533
43,ABCC4,1.901639344262295,1.0
44,ABCC5,0.9344262295081968,1.0
45,ABCC6,0.4596774193548387,0.6097175179514989
46,ABCC8,3.9322033898305087,0.3659276202013103
47,ABCC9,inf,0.49640970058257533
48,ABCD1,0.0,0.2318114076683369
49,ABCD2,0.0,0.4836065573770462
50,ABCD3,0.9354838709677419,1.0
51,ABCD4,inf,1.0
52,ABCE1,0.0,0.4836065573770462
53,ABCF1,inf,1.0
54,ABCF2,inf,1.0
55,ABCF3,inf,1.0
56,ABCG1,0.9354838709677419,1.0
57,ABCG2,inf,1.0
58,ABCG5,inf,1.0
59,ABCG8,inf,0.24461455087386613
60,ABHD10,inf,1.0
61,ABHD11,inf,1.0
62,ABHD15,0.0,0.2318114076683369
63,ABHD17A,2.9,0.619556572120785
64,ABHD17B,inf,1.0
65,ABHD17C,0.0,0.4836065573770462
66,ABHD2,inf,1.0
67,ABHD5,inf,1.0
68,ABI1,0.0,0.4836065573770462
69,ABI3BP,inf,1.0
70,ABL1,0.9354838709677419,1.0
71,ABL2,inf,1.0
72,ABLIM1,inf,1.0
73,ABLIM2,inf,1.0
74,ABLIM3,inf,0.49640970058257533
75,ABRA,0.0,0.4836065573770462
76,ABTB2,0.0,0.4836065573770462
77,AC002365.1,0.9354838709677419,1.0
78,AC002472.13,inf,1.0
79,AC004381.6,0.0,0.4836065573770462
80,AC004466.1,0.0,0.4836065573770462
81,AC005003.1,0.0,0.4836065573770462
82,AC005008.2,inf,1.0
83,AC005481.5,1.901639344262295,1.0
84,AC006538.4,0.0,0.4836065573770462
85,AC006547.14,0.9354838709677419,1.0
86,AC007040.11,0.0,0.4836065573770462
87,AC008132.13,inf,1.0
88,AC008394.1,inf,1.0
89,AC010536.1,inf,1.0
90,AC012313.1,0.0,0.4836065573770462
91,AC013449.1,0.0,0.4836065573770462
92,AC016757.3,inf,1.0
93,AC017028.1,0.0,0.4836065573770462
94,AC020922.1,inf,1.0
95,AC021218.2,inf,1.0
96,AC022498.1,inf,1.0
97,AC023590.1,inf,1.0
98,AC024560.3,inf,1.0
99,AC024940.1,0.0,0.4836065573770462
100,AC025278.1,inf,1.0
101,AC062017.1,inf,1.0
102,AC073333.1,inf,0.49640970058257533
103,AC074212.3,0.9354838709677419,1.0
104,AC074389.6,inf,0.49640970058257533
105,AC079354.1,inf,1.0
106,AC079612.1,inf,1.0
107,AC093802.1,0.0,0.4836065573770462
108,AC104794.4,0.9354838709677419,1.0
109,AC104809.3,0.9354838709677419,1.0
110,AC114783.1,inf,1.0
111,AC115618.1,inf,1.0
112,AC120194.1,inf,1.0
113,AC129492.6,1.901639344262295,1.0
114,AC136604.1,0.9354838709677419,1.0
115,AC174470.1,inf,1.0
116,ACAA1,0.9354838709677419,1.0
117,ACAA2,inf,1.0
118,ACACA,0.9344262295081968,1.0
119,ACACB,2.9,0.619556572120785
120,ACAD10,inf,1.0
121,ACAD9,inf,1.0
122,ACADL,inf,1.0
123,ACADVL,inf,1.0
124,ACAN,2.9,0.619556572120785
125,ACAP1,inf,1.0
126,ACAP2,inf,1.0
127,ACAP3,inf,0.49640970058257533
128,ACAT1,0.0,0.4836065573770462
129,ACBD3,inf,1.0
130,ACBD5,0.0,0.4836065573770462
131,ACBD6,inf,0.49640970058257533
132,ACCS,0.0,0.4836065573770462
133,ACCSL,inf,1.0
134,ACE,2.9,0.619556572120785
135,ACER1,0.0,0.4836065573770462
136,ACER3,0.0,0.4836065573770462
137,ACHE,inf,1.0
138,ACIN1,2.9,0.619556572120785
139,ACLY,inf,1.0
140,ACMSD,0.0,0.4836065573770462
141,ACO1,0.0,0.4836065573770462
142,ACO2,inf,1.0
143,ACOT11,inf,1.0
144,ACOT12,inf,1.0
145,ACOT2,0.0,0.4836065573770462
146,ACOT6,0.0,0.4836065573770462
147,ACOT8,inf,1.0
148,ACOX1,inf,1.0
149,ACOX2,inf,1.0
150,ACOX3,0.9354838709677419,1.0
151,ACP6,0.0,0.4836065573770462
152,ACPL2,inf,1.0
153,ACPP,inf,1.0
154,ACPT,inf,1.0
155,ACR,inf,1.0
156,ACRBP,inf,1.0
