,Mutation,Lscc_odds,Lscc_pvalue
66,ABHD17B,0.0,1.0
67,ABHD17C,0.0,1.0
68,ABHD8,0.0,1.0
69,ABI2,0.0,1.0
70,ABI3,1.3103448275862069,1.0
71,ABI3BP,8.555555555555555,0.06420580340523928
72,ABL1,0.0,1.0
73,ABL2,0.0,1.0
74,ABLIM1,0.0,1.0
75,ABLIM3,0.0,1.0
76,ABO,0.0,1.0
77,ABR,0.0,1.0
78,ABRA,5.5,0.18608319128509537
79,ABTB1,0.0,1.0
80,ABTB2,inf,0.2777777777777764
81,AC004381.6,0.0,1.0
82,AC004754.3,0.0,1.0
83,AC009950.1,0.0,1.0
84,AC010731.4,0.0,1.0
85,AC013264.1,0.0,1.0
86,AC013461.1,0.8620689655172413,1.0
87,AC018755.18,1.3103448275862069,1.0
88,AC023908.1,2.6551724137931036,0.48026998961578404
89,AC026348.1,1.7857142857142858,0.616102392288252
90,AC027682.1,0.0,1.0
91,AC090094.1,2.6551724137931036,0.48026998961578404
92,AC092718.1,0.0,1.0
93,AC096949.1,0.0,1.0
94,AC127070.1,0.8620689655172413,1.0
95,AC243756.1,0.0,1.0
96,ACAA1,0.0,1.0
97,ACAA2,0.0,1.0
98,ACACA,0.6379310344827587,1.0
99,ACACB,2.0555555555555554,0.3942997577165433
100,ACAD10,0.0,1.0
101,ACAD11,0.0,1.0
102,ACAD9,0.0,1.0
103,ACADL,0.0,1.0
104,ACADM,0.0,1.0
105,ACADSB,0.0,1.0
106,ACAN,0.3497536945812808,0.4391275726776259
107,ACAP1,0.0,0.5587198025039665
108,ACAP2,2.7142857142857144,0.30796057916495284
109,ACAP3,0.0,1.0
110,ACAT1,0.0,1.0
111,ACAT2,0.0,1.0
112,ACBD4,2.6551724137931036,0.48026998961578404
113,ACBD5,1.3103448275862069,1.0
114,ACBD6,0.0,1.0
115,ACCS,inf,0.2777777777777764
116,ACCSL,1.7857142857142858,0.616102392288252
117,ACD,0.0,1.0
118,ACE,0.0,0.5587198025039665
119,ACE2,0.0,1.0
120,ACER3,0.0,1.0
121,ACHE,inf,0.2777777777777764
122,ACIN1,0.0,1.0
123,ACKR3,0.0,1.0
124,ACLY,0.0,1.0
125,ACMSD,0.0,1.0
126,ACO2,0.0,1.0
