protein	cancers	num_cancers
MSR1	brca_colon_hnscc_lscc_luad_ovarian	6
ADAMDEC1	brca_colon_hnscc_lscc	4
CLU	brca_colon_hnscc_lscc	4
DEFA4	brca_colon_hnscc_lscc	4
POLR3D	brca_colon_lscc_luad	4
DOK2	brca_colon_lscc_ovarian	4
PDLIM2	brca_colon_lscc_ovarian	4
KCTD9	colon_hnscc_lscc_ovarian	4
ANGPT2	brca_hnscc_lscc	3
LPL	brca_hnscc_lscc	3
MFHAS1	brca_hnscc_lscc	3
LZTS1	brca_hnscc_ovarian	3
DLC1	brca_lscc_luad	3
KBTBD11	brca_lscc_ovarian	3
LOXL2	brca_colon	2
CTSB	brca_hnscc	2
RBPMS	brca_hnscc	2
DEFA3	brca_lscc	2
NEFL	brca_lscc	2
PEBP4	brca_lscc	2
STC1	brca_lscc	2
DCTN6	brca_ovarian	2
PDGFRL	brca_ovarian	2
ARHGEF10	colon_lscc	2
BIN3	hnscc_lscc	2
BNIP3L	hnscc_lscc	2
PNMA2	hnscc_lscc	2
MYOM2	hnscc_ovarian	2
NUDT18	hnscc_ovarian	2
CDCA2	lscc_ovarian	2
TNKS	lscc_ovarian	2
DUSP4	brca	1
STMN4	brca	1
TDRP	brca	1
SORBS3	colon	1
SLC7A2	hnscc	1
ASAH1	lscc	1
GSR	lscc	1
PBK	lscc	1
PINX1	lscc	1
PPP2CB	lscc	1
SH2D4A	lscc	1
BLK	ovarian	1
NEIL2	ovarian	1
PPP3CC	ovarian	1
