,,amplifications,neutral,deletions,average
ACVR1,ENSG00000115170.13,6.0,102.0,2.0,0.044703018181818176
ACVR1B,ENSG00000135503.12,6.0,104.0,0.0,0.060286845454545455
ACVR1C,ENSG00000123612.15,6.0,102.0,2.0,0.04197855454545455
ACVR2A,ENSG00000121989.14,6.0,102.0,2.0,0.03987999090909091
ACVR2B,ENSG00000114739.13,0.0,22.0,88.0,-0.3230604727272726
ACVRL1,ENSG00000139567.12,6.0,104.0,0.0,0.060286845454545455
ACY1,ENSG00000243989.8,0.0,21.0,89.0,-0.3327073181818182
ACY3,ENSG00000132744.7,0.0,109.0,1.0,0.006458254545454547
ACYP1,ENSG00000119640.8,0.0,71.0,39.0,-0.13855561818181814
ACYP2,ENSG00000170634.12,3.0,105.0,2.0,0.030942436363636364
ADA,ENSG00000196839.12,3.0,107.0,0.0,0.059310845454545444
ADAD1,ENSG00000164113.10,0.0,100.0,10.0,-0.03476030909090907
ADAD2,ENSG00000140955.10,9.0,98.0,3.0,0.060290790909090924
ADAL,ENSG00000168803.14,0.0,105.0,5.0,-0.011666909090909094
ADAM10,ENSG00000137845.14,0.0,105.0,5.0,-0.0114734
ADAM11,ENSG00000073670.13,1.0,107.0,2.0,0.005298509090909089
ADAM12,ENSG00000148848.14,0.0,97.0,13.0,-0.044402590909090905
ADAM15,ENSG00000143537.13,3.0,104.0,3.0,0.014429636363636361
ADAM17,ENSG00000151694.12,3.0,105.0,2.0,0.03181664545454545
ADAM18,ENSG00000168619.15,0.0,87.0,23.0,-0.08739194545454546
ADAM19,ENSG00000135074.15,39.0,71.0,0.0,0.20555558181818176
ADAM2,ENSG00000104755.14,0.0,87.0,23.0,-0.08662505454545454
ADAM20,ENSG00000134007.3,0.0,71.0,39.0,-0.1384116636363636
ADAM21,ENSG00000139985.6,0.0,71.0,39.0,-0.1384116636363636
ADAM22,ENSG00000008277.14,16.0,92.0,2.0,0.10849016363636366
ADAM23,ENSG00000114948.12,4.0,99.0,7.0,0.008174609090909099
ADAM28,ENSG00000042980.12,0.0,86.0,24.0,-0.09123416363636362
ADAM29,ENSG00000168594.15,1.0,96.0,13.0,-0.04840171818181819
ADAM30,ENSG00000134249.6,0.0,106.0,4.0,-0.008381300000000003
ADAM32,ENSG00000197140.14,0.0,86.0,24.0,-0.09113388181818183
