	brca	ccrcc	colon	endo	gbm	hnscc	lscc	luad	ovarian
5_gain_event	0.19672131147540983	0.22727272727272727	0.13333333333333333	0.031578947368421054	0.061224489795918366	0.3119266055045872	0.5925925925925926	0.3302752293577982	0.17
5_loss_event	0.13934426229508196	0.0	0.09523809523809523	0.09473684210526316	0.0	0.22018348623853212	0.42592592592592593	0.09174311926605505	0.25
8_gain_event	0.45901639344262296	0.06363636363636363	0.44761904761904764	0.12631578947368421	0.030612244897959183	0.3119266055045872	0.3148148148148148	0.25688073394495414	0.32
8_loss_event	0.45901639344262296	0.20909090909090908	0.37142857142857144	0.05263157894736842	0.05102040816326531	0.26605504587155965	0.4444444444444444	0.30275229357798167	0.51
13_loss_event	0.26229508196721313	0.1	0.0	0.06315789473684211	0.21428571428571427	0.23853211009174313	0.3611111111111111	0.3394495412844037	0.39
20_gain_event	0.20491803278688525	0.09090909090909091	0.4	0.06315789473684211	0.32653061224489793	0.05504587155963303	0.18518518518518517	0.05504587155963303	0.2
