Name,amplifications,neutral,deletions,average
A1BG,21.0,68.0,16.0,0.02039047619047619
A1BG-AS1,21.0,68.0,16.0,0.02039047619047619
A1CF,2.0,94.0,9.0,-0.009580952380952378
A2M,14.0,74.0,17.0,0.004799999999999993
A2M-AS1,12.0,76.0,17.0,-0.0006571428571428641
A2ML1,11.0,65.0,29.0,-0.07022857142857143
A2MP1,16.0,78.0,11.0,0.03625714285714286
A3GALT2,2.0,78.0,25.0,-0.0760666666666667
A4GALT,1.0,60.0,44.0,-0.2197904761904763
A4GNT,7.0,88.0,10.0,-0.0002666666666666678
AA06,13.0,86.0,6.0,0.058133333333333335
AAAS,8.0,78.0,19.0,-0.01231428571428572
AACS,11.0,84.0,10.0,0.004095238095238093
AACSP1,4.0,83.0,18.0,-0.08357142857142863
AADAC,11.0,92.0,2.0,0.05537142857142857
AADACL2,11.0,92.0,2.0,0.053142857142857144
AADACL3,0.0,68.0,37.0,-0.19332380952380943
AADACL4,0.0,68.0,37.0,-0.1923999999999999
AADAT,2.0,79.0,24.0,-0.10964761904761904
AAED1,6.0,72.0,27.0,-0.06116190476190474
AAGAB,0.0,72.0,33.0,-0.17291428571428563
AAK1,10.0,84.0,11.0,0.03174285714285714
AAMDC,3.0,76.0,26.0,-0.08713333333333335
AAMP,9.0,90.0,6.0,0.06508571428571427
AANAT,6.0,75.0,24.0,-0.061847619047619054
AAR2,60.0,36.0,9.0,0.5995714285714284
AARD,47.0,54.0,4.0,0.37196190476190466
AARS,2.0,62.0,41.0,-0.13496190476190473
AARS2,17.0,84.0,4.0,0.12681904761904755
AARSD1,5.0,70.0,30.0,-0.08427619047619046
AASDH,1.0,62.0,42.0,-0.15556190476190476
AASDHPPT,7.0,91.0,7.0,0.03129523809523809
AASS,41.0,63.0,1.0,0.26889523809523813
AATF,5.0,80.0,20.0,-0.06838095238095239
AATK,6.0,92.0,7.0,-0.0014285714285714323
AATK-AS1,6.0,92.0,7.0,-0.0014285714285714323
ABAT,5.0,81.0,19.0,-0.0665904761904762
ABCA1,10.0,74.0,21.0,-0.019428571428571434
ABCA10,10.0,79.0,16.0,-0.010314285714285719
ABCA11P,2.0,80.0,23.0,-0.0904380952380952
ABCA12,8.0,90.0,7.0,0.029885714285714297
ABCA13,54.0,49.0,2.0,0.3694190476190475
ABCA17P,11.0,84.0,10.0,0.009057142857142859
ABCA2,14.0,80.0,11.0,0.03848571428571429
ABCA3,11.0,84.0,10.0,0.009057142857142859
ABCA4,1.0,87.0,17.0,-0.04827619047619051
ABCA5,9.0,80.0,16.0,-0.016
ABCA6,10.0,81.0,14.0,0.0025809523809523765
ABCA7,11.0,69.0,25.0,-0.07472380952380954
ABCA8,10.0,81.0,14.0,-0.0030190476190476213
ABCA9,10.0,81.0,14.0,-0.0004952380952380988
ABCB1,44.0,59.0,2.0,0.26453333333333334
ABCB10,13.0,86.0,6.0,0.06973333333333331
ABCB11,15.0,88.0,2.0,0.1279142857142857
ABCB4,44.0,59.0,2.0,0.26453333333333334
ABCB5,56.0,47.0,2.0,0.3556476190476191
ABCB6,13.0,89.0,3.0,0.10019047619047619
ABCB7,17.0,86.0,2.0,0.1008571428571429
ABCB8,38.0,65.0,2.0,0.2563142857142857
ABCB9,6.0,63.0,36.0,-0.10198095238095238
ABCC1,4.0,73.0,28.0,-0.09598095238095236
ABCC10,18.0,73.0,14.0,0.06744761904761905
ABCC11,8.0,89.0,8.0,0.0067904761904761905
ABCC12,8.0,92.0,5.0,0.016971428571428575
ABCC13,2.0,84.0,19.0,-0.08202857142857142
ABCC2,0.0,69.0,36.0,-0.17160000000000003
ABCC3,8.0,80.0,17.0,-0.03413333333333333
ABCC4,50.0,48.0,7.0,0.38613333333333344
ABCC5,7.0,81.0,17.0,-0.027028571428571443
ABCC5-AS1,7.0,81.0,17.0,-0.027028571428571443
ABCC6,4.0,75.0,26.0,-0.08925714285714284
ABCC6P1,6.0,78.0,21.0,-0.07814285714285714
ABCC6P2,4.0,73.0,28.0,-0.0956
ABCC8,15.0,84.0,6.0,0.089552380952381
ABCC9,14.0,87.0,4.0,0.06282857142857143
ABCD1,17.0,86.0,2.0,0.1008571428571429
ABCD2,11.0,90.0,4.0,0.038390476190476204
