Name,amplifications,neutral,deletions,average
AC000120.2,57.0,41.0,0.0,0.32570267482117
AC000120.3,57.0,41.0,0.0,0.32570267482117
AC001226.2,0.0,72.0,26.0,-0.15455633102922078
AC002094.3,2.0,86.0,10.0,-0.029445161515388514
AC002310.4,0.0,96.0,2.0,-0.007938210083509973
AC002310.5,0.0,96.0,2.0,-0.007902726743015578
AC002985.1,23.0,73.0,2.0,0.13654797532734533
AC002996.1,1.0,94.0,3.0,-0.007765258117549146
AC003002.1,21.0,73.0,4.0,0.10583213853106985
AC003002.2,21.0,73.0,4.0,0.10583213853106985
AC003002.3,21.0,73.0,4.0,0.10583213853106985
AC003005.1,21.0,73.0,4.0,0.10583213853106985
AC003006.1,21.0,73.0,4.0,0.10634823609928498
AC003688.1,1.0,86.0,11.0,-0.04936883503782604
AC004076.1,21.0,73.0,4.0,0.10583213853106985
AC004080.3,57.0,41.0,0.0,0.34293598677165155
AC004233.2,1.0,96.0,1.0,0.00434425716393502
AC004593.3,56.0,42.0,0.0,0.34110078803706895
AC004687.2,2.0,89.0,7.0,-0.004345803700706748
AC004691.2,55.0,43.0,0.0,0.31176747925858944
AC004754.1,1.0,96.0,1.0,0.0028205570999568067
AC004805.1,2.0,91.0,5.0,0.0022947519577666007
AC004832.3,0.0,77.0,21.0,-0.09746000319856071
AC004922.1,58.0,40.0,0.0,0.320543064665959
AC004997.1,0.0,77.0,21.0,-0.09746000319856071
AC005020.2,58.0,40.0,0.0,0.3207810367649281
AC005041.1,1.0,95.0,2.0,-0.0010080584264229506
AC005154.5,56.0,42.0,0.0,0.3140381806801023
AC005258.1,20.0,77.0,1.0,0.13794046732188447
AC005324.3,2.0,86.0,10.0,-0.03443480781240142
AC005324.4,1.0,87.0,10.0,-0.03828742140051736
AC005520.1,1.0,73.0,24.0,-0.11406174286259294
AC005551.1,20.0,77.0,1.0,0.13690612857377826
AC005670.2,2.0,88.0,8.0,-0.0175664465530177
AC005697.1,2.0,85.0,11.0,-0.03397998875001806
AC005702.1,2.0,89.0,7.0,-0.0017049489991126656
AC005726.1,2.0,87.0,9.0,-0.025701318478171583
AC005779.2,16.0,76.0,6.0,0.06834810067001178
AC005832.4,3.0,93.0,2.0,0.011097018885348671
AC005833.1,3.0,93.0,2.0,0.011097018885348671
AC005837.2,3.0,91.0,4.0,0.006512230616904462
AC005943.1,22.0,75.0,1.0,0.14214485075594835
AC006030.1,1.0,95.0,2.0,-0.0010080584264229506
AC006059.2,1.0,93.0,4.0,-0.010011503020483542
AC006064.6,3.0,93.0,2.0,0.012492576140304074
AC006254.1,1.0,93.0,4.0,-0.021493126558147564
AC006486.1,18.0,75.0,5.0,0.07981839226964939
AC006518.7,2.0,92.0,4.0,-0.01593062293933847
AC006538.2,20.0,77.0,1.0,0.13733515004637648
AC006978.2,57.0,41.0,0.0,0.31925704942034744
AC007040.2,0.0,96.0,2.0,-0.008288738512554251
AC007192.1,21.0,75.0,2.0,0.12985580874251154
AC007240.1,1.0,95.0,2.0,-0.005772363986159946
AC007326.4,0.0,80.0,18.0,-0.08183416723306641
AC007375.1,0.0,73.0,25.0,-0.12434924547271754
AC007731.5,1.0,80.0,17.0,-0.07446621182424337
AC007846.2,1.0,87.0,10.0,-0.04509916673943642
AC007906.2,0.0,90.0,8.0,-0.05564223059344219
AC007998.2,2.0,91.0,5.0,-0.01668499393205719
AC008012.1,3.0,93.0,2.0,0.011097018885348671
AC008073.3,0.0,95.0,3.0,-0.009395561866934339
AC008162.2,7.0,84.0,7.0,0.01462849649489582
AC008397.1,21.0,75.0,2.0,0.12985580874251154
AC008397.2,21.0,75.0,2.0,0.12985580874251154
AC008403.1,17.0,75.0,6.0,0.07253076318163096
AC008481.3,24.0,73.0,1.0,0.14205790035911206
AC008537.1,20.0,72.0,6.0,0.08568961795880434
AC008575.1,1.0,97.0,0.0,0.00899207325456169
AC008581.2,0.0,98.0,0.0,0.014071059006666565
AC008676.3,1.0,97.0,0.0,0.006456861078010844
AC008687.1,18.0,75.0,5.0,0.08158459696993658
AC008687.4,18.0,75.0,5.0,0.08158459696993658
AC008687.8,18.0,75.0,5.0,0.08158459696993658
AC008695.1,1.0,95.0,2.0,-0.002646057609130472
AC008750.8,17.0,76.0,5.0,0.08265890824484484
AC008758.1,22.0,75.0,1.0,0.1380144225543643
AC008758.4,22.0,75.0,1.0,0.13834753582522938
AC008758.5,22.0,75.0,1.0,0.13834753582522938
AC008758.6,22.0,75.0,1.0,0.13834753582522938
AC008763.2,20.0,77.0,1.0,0.1261923474556533
AC008763.3,20.0,77.0,1.0,0.1261923474556533
AC008764.1,22.0,74.0,2.0,0.13257601507202826
AC008764.4,22.0,74.0,2.0,0.1325161710372912
AC008770.1,22.0,75.0,1.0,0.1346518239273661
AC008770.2,22.0,75.0,1.0,0.1346518239273661
AC008878.1,19.0,78.0,1.0,0.12306070395771176
AC008878.2,19.0,78.0,1.0,0.12324380097824693
AC008878.3,19.0,78.0,1.0,0.12299140645994447
AC008982.1,21.0,73.0,4.0,0.1030320315025368
AC009086.2,0.0,96.0,2.0,-0.008526248752747951
AC009119.2,1.0,91.0,6.0,-0.03918645944474344
AC009133.6,0.0,96.0,2.0,-0.007205246743137964
AC009163.2,1.0,90.0,7.0,-0.055390556566912164
AC009163.4,1.0,90.0,7.0,-0.05537924135726356
AC009336.2,0.0,98.0,0.0,-0.00011994154078859206
AC009477.2,0.0,98.0,0.0,-0.0007191302597886307
AC009690.1,0.0,92.0,6.0,-0.03082181446255838
AC009690.3,0.0,92.0,6.0,-0.03082181446255838
AC009879.2,0.0,94.0,4.0,-0.012146016695690253
AC009879.3,0.0,94.0,4.0,-0.012146016695690253
AC010132.3,52.0,46.0,0.0,0.3059781305158976
AC010197.2,2.0,93.0,3.0,0.0016589860489692374
AC010255.3,1.0,96.0,1.0,0.003035571323918882
AC010319.2,22.0,74.0,2.0,0.13510547311379484
AC010323.1,20.0,77.0,1.0,0.1266342675653616
AC010325.1,17.0,76.0,5.0,0.08226933545361963
AC010326.2,22.0,73.0,3.0,0.11603016355837667
AC010327.1,18.0,75.0,5.0,0.08387360467413008
AC010422.3,22.0,75.0,1.0,0.1384384075534963
AC010422.5,22.0,75.0,1.0,0.1384384075534963
AC010422.6,21.0,76.0,1.0,0.13371723265792734
AC010422.8,22.0,75.0,1.0,0.1384384075534963
AC010463.1,22.0,74.0,2.0,0.13510547311379484
AC010487.3,17.0,76.0,5.0,0.08331687435704063
AC010522.1,22.0,72.0,4.0,0.11164805319459864
AC010531.1,0.0,91.0,7.0,-0.049967856325569326
AC010542.3,1.0,91.0,6.0,-0.03911733016378049
AC010547.4,1.0,92.0,5.0,-0.03735681552212244
AC010615.4,23.0,73.0,2.0,0.13008306562741784
AC010616.1,18.0,75.0,5.0,0.08398489742014252
AC010616.2,19.0,74.0,5.0,0.08496650598525837
AC010619.1,18.0,76.0,4.0,0.09317586019357559
AC010646.1,22.0,74.0,2.0,0.13457543108016948
AC011005.1,57.0,40.0,1.0,0.317475915321791
AC011195.2,2.0,89.0,7.0,-0.004345803700706748
AC011330.3,0.0,86.0,12.0,-0.07189945190711039
AC011448.1,23.0,73.0,2.0,0.13647556924682655
AC011452.1,16.0,76.0,6.0,0.07130276338428672
AC011455.2,21.0,73.0,4.0,0.1030320315025368
AC011462.1,20.0,73.0,5.0,0.09063386883648517
AC011473.4,17.0,76.0,5.0,0.08226933545361963
AC011479.1,21.0,73.0,4.0,0.10304577673266173
AC011498.4,19.0,78.0,1.0,0.13197788242424052
AC011499.1,18.0,79.0,1.0,0.12123072776031985
AC011511.1,23.0,74.0,1.0,0.139354124135295
AC011511.4,23.0,74.0,1.0,0.139354124135295
AC011530.1,14.0,78.0,6.0,0.06517593878880319
AC011604.2,2.0,92.0,4.0,-0.013115846709270454
AC012184.2,2.0,91.0,5.0,-0.030943030654966865
AC012213.5,0.0,95.0,3.0,-0.011868846866882141
AC012254.2,2.0,92.0,4.0,-0.017082508073580818
AC012309.1,23.0,71.0,4.0,0.11369377932696884
AC012476.1,1.0,85.0,12.0,-0.0582137566673089
AC012531.2,1.0,90.0,7.0,-0.03474504001896712
AC012651.1,0.0,86.0,12.0,-0.05887731448060339
AC013394.1,0.0,91.0,7.0,-0.034540618467696904
AC013470.2,53.0,44.0,1.0,0.30026890560847613
AC013489.1,1.0,90.0,7.0,-0.030268087001755803
AC013717.1,0.0,96.0,2.0,-0.00853377215722957
AC015688.4,2.0,85.0,11.0,-0.034959323180772356
AC015802.6,3.0,91.0,4.0,0.0067653317626348
AC015813.2,2.0,89.0,7.0,-0.004345803700706748
AC017083.3,0.0,96.0,2.0,-0.008423655078015726
AC018362.3,0.0,86.0,12.0,-0.060670525527298715
AC018512.1,0.0,86.0,12.0,-0.05863272006555444
AC018523.2,1.0,90.0,7.0,-0.03156681548663055
AC018554.3,1.0,90.0,7.0,-0.04278860343865259
AC018709.1,0.0,90.0,8.0,-0.04230501401550868
AC018755.2,17.0,76.0,5.0,0.08232197308186477
AC019117.2,52.0,45.0,1.0,0.294876574132551
AC020636.2,2.0,92.0,4.0,-0.013374353569199077
AC020907.6,21.0,72.0,5.0,0.09211046488145339
AC020909.1,17.0,76.0,5.0,0.08340251652897221
AC020915.1,22.0,72.0,4.0,0.12904501454125408
AC020915.5,22.0,72.0,4.0,0.12253290225821499
AC020922.1,18.0,75.0,5.0,0.08410403721521428
AC021072.1,2.0,89.0,7.0,0.00942770688958227
AC021097.2,58.0,40.0,0.0,0.36277786180517085
AC021097.3,58.0,40.0,0.0,0.36277786180517085
AC021660.3,2.0,91.0,5.0,-0.017747338315305537
AC022167.5,1.0,96.0,1.0,-0.00013623947444236468
AC022335.1,2.0,91.0,5.0,-0.018759835231040557
AC022384.1,2.0,92.0,4.0,-0.0014330898948875781
AC022400.6,0.0,22.0,76.0,-0.4468306961320607
AC022414.1,0.0,98.0,0.0,0.014071059006666565
AC022506.1,7.0,87.0,4.0,0.07546650549831961
AC022826.2,0.0,95.0,3.0,-0.010925273765847635
AC023055.1,2.0,91.0,5.0,-0.017575400799601952
AC023509.3,1.0,90.0,7.0,-0.03474504001896712
AC024592.3,18.0,79.0,1.0,0.11760610477614297
AC025165.3,14.0,81.0,3.0,0.41787731793624205
AC025263.2,7.0,90.0,1.0,0.17067632423521775
AC025283.2,1.0,96.0,1.0,0.0022599629072033636
AC025283.3,1.0,96.0,1.0,0.0022599629072033636
AC025287.4,1.0,90.0,7.0,-0.055709564951787895
AC026316.5,5.0,90.0,3.0,0.015245762111267045
AC026398.1,1.0,95.0,2.0,-0.002646057609130472
AC026464.1,2.0,90.0,6.0,-0.03387994789270233
AC026464.3,2.0,90.0,6.0,-0.03387994789270233
AC026464.4,2.0,90.0,6.0,-0.03387994789270233
AC026464.6,2.0,90.0,6.0,-0.03387994789270233
AC026786.1,2.0,91.0,5.0,-0.018916057898544836
AC026954.2,1.0,86.0,11.0,-0.049028300201381145
AC027644.4,59.0,39.0,0.0,0.36603646876476353
AC027796.3,1.0,87.0,10.0,-0.04523188035519432
AC034102.2,3.0,89.0,6.0,0.0012866200767558615
AC036214.3,0.0,95.0,3.0,-0.009178513541229729
AC037459.1,0.0,92.0,6.0,-0.021999426671855223
AC040162.1,1.0,91.0,6.0,-0.03797463941049001
AC046185.1,2.0,91.0,5.0,-0.000696920710039867
AC048338.1,2.0,93.0,3.0,-0.004187728961272189
AC055811.2,1.0,87.0,10.0,-0.03767028528097713
AC058822.1,13.0,82.0,3.0,0.25764902984023746
AC067752.1,0.0,23.0,75.0,-0.4479035598493812
AC067968.1,16.0,76.0,6.0,0.06988004789367476
AC068234.1,2.0,88.0,8.0,-0.0164916171676128
AC068533.4,59.0,39.0,0.0,0.3364339283547458
AC068547.1,0.0,98.0,0.0,0.0026445216915617527
AC068580.4,1.0,88.0,9.0,-0.04557090197341459
AC068631.2,4.0,89.0,5.0,-0.01043387145357403
AC068775.1,2.0,92.0,4.0,-0.012594883318103323
AC068790.8,2.0,92.0,4.0,-0.015841439604094343
AC068831.7,1.0,91.0,6.0,-0.028514870359493388
AC068896.1,0.0,17.0,81.0,-0.47569209989564626
AC068946.1,0.0,96.0,2.0,-0.009666043982171192
AC068946.2,0.0,96.0,2.0,-0.009666043982171192
AC068987.5,1.0,90.0,7.0,-0.034564275016360696
AC069257.3,3.0,91.0,4.0,-0.011830953888476442
AC069368.1,1.0,90.0,7.0,-0.03098430558067568
AC069444.2,1.0,92.0,5.0,-0.02609262010176363
AC069503.2,2.0,92.0,4.0,-0.007698878597828289
AC073082.1,0.0,96.0,2.0,-0.009377062719848518
AC073111.3,59.0,37.0,2.0,0.3141196292266498
AC073111.5,59.0,37.0,2.0,0.3141196292266498
AC073283.3,0.0,96.0,2.0,-0.01022253014747942
AC073508.2,2.0,85.0,11.0,-0.04218667335424987
AC073610.2,1.0,91.0,6.0,-0.030230734991946652
AC073610.3,1.0,91.0,6.0,-0.030230734991946652
AC073612.1,3.0,92.0,3.0,0.039073416123601525
