Name,amplifications,neutral,deletions,average
A1BG,4.0,85.0,6.0,-0.00578947368421053
A1BG-AS1,4.0,85.0,6.0,-0.00578947368421053
A1CF,7.0,85.0,3.0,0.05000000000000001
A2M,2.0,92.0,1.0,0.01231578947368421
A2M-AS1,2.0,92.0,1.0,0.01231578947368421
A2ML1,2.0,92.0,1.0,0.013263157894736843
A2MP1,2.0,92.0,1.0,0.01231578947368421
A3GALT2,1.0,88.0,6.0,-0.02294736842105263
A4GALT,1.0,83.0,11.0,-0.053263157894736846
A4GNT,4.0,91.0,0.0,0.027789473684210527
AA06,1.0,83.0,11.0,-0.3712631578947368
AAAS,2.0,91.0,2.0,-0.32915789473684215
AACS,1.0,90.0,4.0,-0.35515789473684195
AACSP1,0.0,86.0,9.0,-0.38357894736842113
AADAC,3.0,92.0,0.0,0.028631578947368425
AADACL2,1.0,93.0,1.0,0.005578947368421051
AADACL2-AS1,1.0,93.0,1.0,0.005578947368421051
AADACL3,2.0,88.0,5.0,-0.027157894736842107
AADACL4,2.0,89.0,4.0,-0.024631578947368428
AADACP1,3.0,92.0,0.0,0.028631578947368425
AADAT,1.0,84.0,10.0,-0.048631578947368366
AAED1,1.0,82.0,12.0,-0.0637894736842105
AAGAB,0.0,86.0,9.0,-0.38389473684210523
AAK1,5.0,90.0,0.0,0.03157894736842106
AAMDC,1.0,89.0,5.0,-0.02094736842105262
AAMP,4.0,89.0,2.0,-0.3304210526315789
AANAT,3.0,85.0,7.0,-0.3440000000000001
AAR2,5.0,89.0,1.0,0.0294736842105263
AARD,9.0,85.0,1.0,0.07031578947368422
AARS,1.0,82.0,12.0,-0.40052631578947373
AARS2,4.0,91.0,0.0,0.012315789473684207
AARSD1,1.0,84.0,10.0,-0.3817894736842105
AASDH,1.0,86.0,8.0,-0.043157894736842055
AASDHPPT,1.0,88.0,6.0,-0.031052631578947356
AASS,6.0,87.0,2.0,0.0336842105263158
AATBC,2.0,88.0,5.0,-0.012526315789473696
AATF,0.0,88.0,7.0,-0.05010526315789474
AATK,2.0,88.0,5.0,-0.3414736842105264
ABALON,7.0,87.0,1.0,0.041999999999999996
ABAT,1.0,88.0,6.0,-0.02168421052631579
ABCA1,1.0,82.0,12.0,-0.059789473684210497
ABCA10,1.0,87.0,7.0,-0.3600000000000001
ABCA11P,1.0,88.0,6.0,-0.03610526315789472
ABCA12,2.0,91.0,2.0,-0.3396842105263158
ABCA13,4.0,87.0,4.0,0.023473684210526317
ABCA17P,1.0,89.0,5.0,-0.02252631578947369
ABCA2,3.0,81.0,11.0,-0.045578947368421024
ABCA3,2.0,88.0,5.0,-0.014000000000000007
ABCA4,1.0,91.0,3.0,-0.0025263157894736886
ABCA5,1.0,87.0,7.0,-0.3600000000000001
ABCA6,1.0,87.0,7.0,-0.3600000000000001
ABCA7,1.0,88.0,6.0,-0.04105263157894737
ABCA8,1.0,87.0,7.0,-0.3600000000000001
ABCA9,1.0,87.0,7.0,-0.3600000000000001
ABCA9-AS1,1.0,87.0,7.0,-0.3600000000000001
ABCB1,5.0,85.0,5.0,0.022315789473684212
ABCB10,14.0,80.0,1.0,-0.24315789473684202
ABCB11,3.0,92.0,0.0,0.02442105263157894
ABCB4,5.0,85.0,5.0,0.022315789473684212
ABCB5,5.0,86.0,4.0,0.026000000000000006
ABCB6,2.0,91.0,2.0,-0.34
ABCB7,1.0,83.0,11.0,-0.038842105263157886
ABCB8,6.0,87.0,2.0,0.03052631578947369
ABCB9,2.0,90.0,3.0,-0.348736842105263
ABCC1,1.0,89.0,5.0,-0.018947368421052636
ABCC10,4.0,91.0,0.0,0.011052631578947366
ABCC11,0.0,88.0,7.0,-0.37705263157894753
ABCC12,0.0,88.0,7.0,-0.37705263157894753
ABCC13,1.0,87.0,7.0,-0.029157894736842094
ABCC2,6.0,86.0,3.0,0.04578947368421051
ABCC3,1.0,86.0,8.0,-0.3585263157894737
ABCC4,0.0,87.0,8.0,-0.3796842105263158
ABCC5,6.0,88.0,1.0,-0.3024210526315789
ABCC5-AS1,6.0,88.0,1.0,-0.3024210526315789
ABCC6,1.0,89.0,5.0,-0.018947368421052636
ABCC6P1,2.0,88.0,5.0,-0.012210526315789475
ABCC6P2,1.0,89.0,5.0,-0.018526315789473693
ABCC8,1.0,85.0,9.0,-0.03621052631578945
ABCC9,2.0,92.0,1.0,0.014842105263157898
ABCD1,2.0,78.0,15.0,-0.050105263157894694
ABCD2,2.0,92.0,1.0,0.014736842105263161
ABCD3,1.0,92.0,2.0,-0.0005263157894736866
ABCD4,3.0,87.0,5.0,-0.2414736842105264
ABCE1,1.0,85.0,9.0,-0.04378947368421049
ABCF1,3.0,92.0,0.0,0.011263157894736841
ABCF2,6.0,87.0,2.0,0.03052631578947369
ABCF3,7.0,87.0,1.0,-0.3012631578947368
ABCG1,1.0,88.0,6.0,-0.023894736842105253
