Name,amplifications,neutral,deletions,average
A1BG,7.0,95.0,7.0,0.018695012378887058
A1BG-AS1,7.0,95.0,7.0,0.018695012378887058
A1CF,3.0,96.0,10.0,-0.008239157703869553
A2M,17.0,85.0,7.0,0.09631981443196323
A2M-AS1,17.0,85.0,7.0,0.09631981443196323
A2ML1,17.0,85.0,7.0,0.09631981443196323
A2ML1-AS1,17.0,85.0,7.0,0.09631981443196323
A2ML1-AS2,17.0,85.0,7.0,0.09631981443196323
A2MP1,17.0,85.0,7.0,0.09631981443196323
A3GALT2,3.0,94.0,12.0,-0.020606397305230645
A4GALT,4.0,98.0,7.0,0.01785473968620341
A4GNT,27.0,78.0,4.0,0.168985261133147
AAAS,2.0,101.0,6.0,0.005501490646890739
AACS,0.0,104.0,5.0,-0.0033336189699269656
AACSP1,1.0,80.0,28.0,-0.09908874323693846
AADAC,39.0,69.0,1.0,0.23834884145910135
AADACL2,38.0,70.0,1.0,0.23606668146294935
AADACL2-AS1,38.0,70.0,1.0,0.23566405686848788
AADACL3,4.0,92.0,13.0,-0.023909743594614914
AADACL4,4.0,92.0,13.0,-0.023909743594614914
AADACP1,38.0,70.0,1.0,0.2343703327001993
AADAT,1.0,87.0,21.0,-0.09075147476450494
AAGAB,3.0,96.0,10.0,-0.007943219238642088
AAK1,11.0,96.0,2.0,0.07412744845664808
AAMDC,14.0,71.0,24.0,0.009637925640353038
AAMP,1.0,91.0,17.0,-0.05372980477715447
AANAT,6.0,102.0,1.0,0.05947724444843726
AAR2,11.0,94.0,4.0,0.08532183148043442
AARD,32.0,75.0,2.0,0.23137196251639483
AARS,6.0,96.0,7.0,0.0211481487027113
AARS2,7.0,95.0,7.0,0.03101757607639521
AARSD1,7.0,102.0,0.0,0.08090754121090574
AARSP1,0.0,90.0,19.0,-0.08931705103945783
AASDH,3.0,89.0,17.0,-0.016077268040347877
AASDHPPT,6.0,71.0,32.0,-0.09110277926465409
AASS,7.0,89.0,13.0,0.0204604252647946
AATBC,1.0,76.0,32.0,-0.12359823258706074
AATF,4.0,104.0,1.0,0.06425385547348461
AATK,2.0,103.0,4.0,0.024922710817447492
ABALON,13.0,95.0,1.0,0.10340168553281288
ABAT,1.0,104.0,4.0,0.018809582376744575
ABBA01000935.2,7.0,75.0,27.0,-0.06066939236732561
