,Mutation,Hnscc_odds,Hnscc_pvalue
79,ACACB,1.8095238095238095,0.614177034255692
80,ACAD8,0.0,1.0
81,ACAD9,0.0,1.0
82,ACADL,inf,0.0739041794087671
83,ACADSB,inf,0.2752293577981668
84,ACADVL,0.0,1.0
85,ACAN,2.814814814814815,0.3433589909928533
86,ACAP1,0.0,1.0
87,ACAP2,0.0,1.0
88,ACAT1,0.0,1.0
89,ACAT2,2.689655172413793,0.4765545361875627
90,ACBD4,0.0,1.0
91,ACBD5,0.0,1.0
92,ACBD6,inf,0.2752293577981668
93,ACCS,inf,0.2752293577981668
94,ACCSL,0.0,1.0
95,ACE,2.689655172413793,0.4765545361875627
96,ACER1,2.689655172413793,0.4765545361875627
97,ACER3,0.0,1.0
98,ACIN1,1.3392857142857142,0.6661147411828027
99,ACKR1,1.3275862068965518,1.0
100,ACO1,1.3275862068965518,1.0
101,ACOT12,2.689655172413793,0.4765545361875627
102,ACOT4,0.0,1.0
103,ACOT7,0.0,1.0
104,ACOT8,0.0,1.0
105,ACOX1,2.689655172413793,0.4765545361875627
106,ACOXL,0.0,1.0
107,ACP2,0.0,1.0
108,ACP7,2.689655172413793,0.4765545361875627
109,ACPP,2.689655172413793,0.4765545361875627
110,ACR,0.0,1.0
111,ACRBP,0.0,1.0
112,ACSBG1,0.0,1.0
113,ACSBG2,inf,0.2752293577981668
114,ACSF2,inf,0.2752293577981668
115,ACSL1,2.689655172413793,0.4765545361875627
116,ACSL4,0.0,1.0
117,ACSL5,inf,0.2752293577981668
118,ACSL6,5.571428571428571,0.1830337153581604
119,ACSM1,0.0,0.573564090493129
120,ACSM2A,0.0,1.0
121,ACSM2B,0.0,0.5597187687558982
122,ACSM4,0.0,1.0
123,ACSM5,5.571428571428571,0.1830337153581604
124,ACSS2,0.0,1.0
125,ACSS3,1.3275862068965518,1.0
126,ACTA1,inf,0.2752293577981668
127,ACTA2,0.0,1.0
128,ACTB,0.0,1.0
129,ACTBL2,0.0,1.0
130,ACTC1,0.0,1.0
131,ACTL7B,0.0,1.0
132,ACTL8,0.0,1.0
133,ACTL9,0.0,0.5597187687558982
134,ACTN1,0.0,1.0
135,ACTN2,0.646551724137931,1.0
136,ACTN3,0.0,0.573564090493129
137,ACTN4,1.3275862068965518,1.0
138,ACTR10,0.0,1.0
139,ACTR1B,inf,0.2752293577981668
140,ACTR2,0.0,1.0
141,ACTR3B,2.689655172413793,0.4765545361875627
142,ACTR5,inf,0.2752293577981668
143,ACTRT2,0.0,1.0
144,ACTRT3,1.3275862068965518,1.0
145,ACVR1B,inf,0.2752293577981668
146,ACVR1C,0.0,1.0
147,ACVRL1,0.0,0.5597187687558982
148,ACY3,2.689655172413793,0.4765545361875627
149,ADA,0.0,1.0
150,ADAD1,0.0,1.0
151,ADAD2,0.0,1.0
152,ADAM10,inf,0.2752293577981668
153,ADAM11,0.0,1.0
154,ADAM12,0.8735632183908046,1.0
155,ADAM15,0.0,1.0
156,ADAM17,0.0,1.0
157,ADAM18,inf,0.2752293577981668
158,ADAM19,1.3275862068965518,1.0
159,ADAM2,0.0,0.573564090493129
160,ADAM20,inf,0.2752293577981668
161,ADAM22,1.3275862068965518,1.0
162,ADAM23,inf,0.2752293577981668
163,ADAM28,0.0,0.5597187687558982
164,ADAM29,2.689655172413793,0.4765545361875627
165,ADAM30,0.0,1.0
166,ADAM32,0.0,0.573564090493129
167,ADAM33,0.0,1.0
168,ADAM7,inf,0.2752293577981668
169,ADAM8,0.0,1.0
170,ADAM9,2.689655172413793,0.4765545361875627
171,ADAMDEC1,0.0,1.0
172,ADAMTS1,1.3275862068965518,1.0
173,ADAMTS10,1.3392857142857142,0.6661147411828027
174,ADAMTS12,0.41954022988505746,0.6709771478646152
175,ADAMTS13,0.0,1.0
176,ADAMTS14,0.8735632183908046,1.0
177,ADAMTS15,0.646551724137931,1.0
178,ADAMTS16,0.8735632183908046,1.0
179,ADAMTS17,0.0,0.5597187687558982
180,ADAMTS18,0.0,0.573564090493129
181,ADAMTS19,0.0,1.0
182,ADAMTS2,0.0,1.0
183,ADAMTS20,0.0,0.5597187687558982
184,ADAMTS3,0.0,0.573564090493129
185,ADAMTS4,0.0,1.0
186,ADAMTS5,0.8735632183908046,1.0
187,ADAMTS6,0.0,1.0
188,ADAMTS7,0.0,1.0
189,ADAMTS8,5.571428571428571,0.1830337153581604
190,ADAMTS9,0.0,1.0
191,ADAMTSL1,2.689655172413793,0.4765545361875627
192,ADAMTSL2,1.3275862068965518,1.0
193,ADAMTSL3,0.0,1.0
194,ADAP2,0.0,1.0
195,ADARB1,inf,0.2752293577981668
196,ADARB2,2.689655172413793,0.4765545361875627
197,ADAT1,inf,0.2752293577981668
198,ADAT2,0.0,1.0
199,ADAT3,0.0,1.0
200,ADCK3,0.0,0.5597187687558982
201,ADCK5,1.8095238095238095,0.614177034255692
202,ADCY1,1.3275862068965518,1.0
203,ADCY10,1.3275862068965518,1.0
204,ADCY2,4.277777777777778,0.12682170910498242
205,ADCY3,0.0,1.0
206,ADCY4,2.689655172413793,0.4765545361875627
207,ADCY5,inf,0.0739041794087671
208,ADCY7,0.0,1.0
209,ADCY8,0.8735632183908046,1.0
210,ADCYAP1,0.0,1.0
211,ADCYAP1R1,0.0,1.0
212,ADD1,0.0,1.0
213,ADD2,inf,0.2752293577981668
214,ADD3,0.0,1.0
215,ADGB,2.96,0.1342757554015185
216,ADGRA1,1.3275862068965518,1.0
217,ADGRA2,0.646551724137931,1.0
218,ADGRA3,0.0,1.0
219,ADGRB1,0.5103448275862069,1.0
220,ADGRB2,2.689655172413793,0.4765545361875627
221,ADGRB3,4.277777777777778,0.12682170910498242
222,ADGRD1,inf,0.0739041794087671
223,ADGRD2,0.0,1.0
224,ADGRE1,0.0,1.0
225,ADGRE2,0.0,1.0
226,ADGRE3,1.3275862068965518,1.0
227,ADGRF1,0.0,1.0
