protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
A1BG	ENSP00000263100	0.9973324374037679	coad	-0.09594484344819326	33	66
PON2	ENSP00000488378	0.9973324374037679	coad	0.051894547267420876	33	66
PON1	ENSP00000222381	0.9973324374037679	coad	-0.17281324575997176	33	66
POMT1	ENSP00000343034	0.9973324374037679	coad	-0.3461263681092204	4	12
POMP	ENSP00000370222	0.9973324374037679	coad	0.022012375169035675	33	65
POMGNT2	ENSP00000344125	0.9973324374037679	coad	0.16956704532008562	9	24
POM121C	ENSP00000476236	0.9973324374037679	coad	0.020195124292212194	20	41
POLRMT	ENSP00000465759	0.9973324374037679	coad	-0.01219960377296582	30	62
POLR3GL	ENSP00000358319	0.9973324374037679	coad	0.23741794266213498	4	9
POLR3E	ENSP00000299853	0.9973324374037679	coad	-0.04292147334508091	20	46
POLR3D	ENSP00000303088	0.9973324374037679	coad	0.120196683266689	24	44
POLR3C	ENSP00000334564	0.9973324374037679	coad	0.00899733655443219	32	62
POLR3B	ENSP00000228347	0.9973324374037679	coad	0.011469573296929603	33	66
POP4	ENSP00000465213	0.9973324374037679	coad	-0.09311949442226691	22	46
POLR3A	ENSP00000361446	0.9973324374037679	coad	-0.020144294331920082	33	66
POLR2L	ENSP00000324124	0.9973324374037679	coad	-0.008223784660178202	33	66
POLR2J	ENSP00000292614	0.9973324374037679	coad	-0.2035240085013712	15	23
POLR2I	ENSP00000221859	0.9973324374037679	coad	0.012420581479800595	29	61
POLR2H	ENSP00000392913	0.9973324374037679	coad	0.06720195876015392	33	66
POLR2G	ENSP00000301788	0.9973324374037679	coad	-0.029167586896137097	33	66
POLR2F	ENSP00000403852	0.9973324374037679	coad	-0.09849953431180991	30	59
POLR2E	ENSP00000464739	0.9973324374037679	coad	0.02931751718603126	33	66
POLR2D	ENSP00000272645	0.9973324374037679	coad	-0.04480964207184039	33	66
POLR2C	ENSP00000219252	0.9973324374037679	coad	0.026768519444854547	33	66
POLR2B	ENSP00000312735	0.9973324374037679	coad	0.0091088220444282	33	66
POLR2A	ENSP00000461879	0.9973324374037679	coad	-0.0049572274268425785	33	66
POLR1E	ENSP00000367029	0.9973324374037679	coad	-0.04926746310875496	33	66
POLR2M	ENSP00000497820	0.9973324374037679	coad	-0.09078491329747918	25	42
POLR1D	ENSP00000302478	0.9973324374037679	coad	-0.0564571681362509	33	66
POP5	ENSP00000341791	0.9973324374037679	coad	0.021420760827890267	15	29
POPDC2	ENSP00000264231	0.9973324374037679	coad	-0.30974769867271457	6	7
PPIL1	ENSP00000362803	0.9973324374037679	coad	-0.026073968051465654	33	66
PPIG	ENSP00000260970	0.9973324374037679	coad	0.017963320220304724	33	66
PPIF	ENSP00000225174	0.9973324374037679	coad	-0.012166399872665407	33	66
PPIE	ENSP00000312769	0.9973324374037679	coad	0.09890414907776693	33	66
PPID	ENSP00000303754	0.9973324374037679	coad	-0.003928103581998799	33	66
PPIC	ENSP00000303057	0.9973324374037679	coad	0.11788748272046369	33	66
PPIB	ENSP00000300026	0.9973324374037679	coad	0.04240950493610077	33	66
PPHLN1	ENSP00000449331	0.9973324374037679	coad	0.027248192031538082	18	33
PPHLN1	ENSP00000351066	0.9973324374037679	coad	-0.04797557016341891	33	66
PPFIBP2	ENSP00000299492	0.9973324374037679	coad	-0.020830774076717618	30	62
PPFIBP1	ENSP00000443442	0.9973324374037679	coad	0.05184236399320609	33	66
PPCS	ENSP00000361642	0.9973324374037679	coad	-0.04634579922462198	33	66
POP7	ENSP00000304353	0.9973324374037679	coad	-0.0628467598337861	25	45
PPCDC	ENSP00000343190	0.9973324374037679	coad	-0.05319508982246121	6	15
PPAT	ENSP00000264220	0.9973324374037679	coad	0.00687085848504268	33	66
PPA2	ENSP00000343885	0.9973324374037679	coad	-0.04387187696528454	33	66
PPA1	ENSP00000362329	0.9973324374037679	coad	0.09323483862457199	33	66
POU2F1	ENSP00000356836	0.9973324374037679	coad	0.3556818556521546	5	12
POTEJ	ENSP00000387176	0.9973324374037679	coad	-0.06113547320548618	33	66
POTEI	ENSP00000392718	0.9973324374037679	coad	0.14589817168192543	33	66
POTEF	ENSP00000386786	0.9973324374037679	coad	-0.08368022296455446	33	66
POSTN	ENSP00000437953	0.9973324374037679	coad	-0.02575706902532049	33	66
POSTN	ENSP00000369073	0.9973324374037679	coad	-0.12744618502788196	33	66
POSTN	ENSP00000369067	0.9973324374037679	coad	-0.03959154121359321	33	66
POSTN	ENSP00000369066	0.9973324374037679	coad	-0.09062072138168625	33	66
POR	ENSP00000419970	0.9973324374037679	coad	0.0038714129365618466	33	66
PPBP	ENSP00000296028	0.9973324374037679	coad	-0.19923547379767872	33	66
PPIL2	ENSP00000334553	0.9973324374037679	coad	-0.008294274463130746	33	66
POLR1C	ENSP00000496044	0.9973324374037679	coad	-0.05896490017594763	33	66
POLR1A	ENSP00000263857	0.9973324374037679	coad	-0.009482426780249631	33	66
PNLIP	ENSP00000358223	0.9973324374037679	coad	0.7612371766249906	5	8
PNKP	ENSP00000323511	0.9973324374037679	coad	-0.054105604139364494	33	66
PNKD	ENSP00000273077	0.9973324374037679	coad	-0.09248152089342442	30	62
PNKD	ENSP00000248451	0.9973324374037679	coad	-0.0502446536473411	31	65
PNISR	ENSP00000358242	0.9973324374037679	coad	-0.041003559803548334	30	62
PMVK	ENSP00000357452	0.9973324374037679	coad	0.012953506288550132	33	66
PMS2	ENSP00000265849	0.9973324374037679	coad	-0.08717636412835245	9	18
PMS1	ENSP00000387125	0.9973324374037679	coad	0.25781785210029073	11	15
PMPCB	ENSP00000249269	0.9973324374037679	coad	0.03847011600543493	33	66
PMPCA	ENSP00000360782	0.9973324374037679	coad	0.035004430226694666	33	66
PMM1	ENSP00000216259	0.9973324374037679	coad	0.13489857710823588	11	19
PML	ENSP00000455838	0.9973324374037679	coad	0.10370735428499314	10	20
PNN	ENSP00000216832	0.9973324374037679	coad	-0.023238915686368544	33	66
PML	ENSP00000268058	0.9973324374037679	coad	-0.009768174335992197	33	66
PLXNC1	ENSP00000258526	0.9973324374037679	coad	0.06642175884086807	17	32
PLXNB2	ENSP00000352288	0.9973324374037679	coad	0.006588981739361427	33	66
PLXNB1	ENSP00000296440	0.9973324374037679	coad	-0.1279107803992671	17	28
PLXNA4	ENSP00000323194	0.9973324374037679	coad	0.2598091668963583	4	7
PLXNA2	ENSP00000356000	0.9973324374037679	coad	-0.34264690068394665	18	31
PLXDC2	ENSP00000366460	0.9973324374037679	coad	0.03519948777037413	33	66
PLVAP	ENSP00000252590	0.9973324374037679	coad	-0.09733525796072878	33	66
PLTP	ENSP00000361508	0.9973324374037679	coad	0.011384167771102044	33	66
PLSCR4	ENSP00000347038	0.9973324374037679	coad	-0.016906467734703112	31	61
PLSCR3	ENSP00000316021	0.9973324374037679	coad	0.03680068703595013	32	63
PLSCR1	ENSP00000345494	0.9973324374037679	coad	0.15784949220145955	33	66
PLS1	ENSP00000336831	0.9973324374037679	coad	-0.07955031106708792	33	66
PM20D2	ENSP00000275072	0.9973324374037679	coad	-0.03247714601582309	33	66
POLR1B	ENSP00000263331	0.9973324374037679	coad	0.033534019372726626	30	62
PNO1	ENSP00000263657	0.9973324374037679	coad	0.07249097560908663	33	66
PNPLA2	ENSP00000337701	0.9973324374037679	coad	-0.044752868725337125	16	19
POLK	ENSP00000241436	0.9973324374037679	coad	-0.043448717554350924	5	10
POLI	ENSP00000385196	0.9973324374037679	coad	0.17158729678360277	5	12
POLG2	ENSP00000442563	0.9973324374037679	coad	-0.05247447344193044	23	50
POLG	ENSP00000497242	0.9973324374037679	coad	-0.24356142961362387	8	25
POLG	ENSP00000268124	0.9973324374037679	coad	0.15493654654454436	15	25
POLE4	ENSP00000420176	0.9973324374037679	coad	-0.03846198572921637	17	34
POLE3	ENSP00000363284	0.9973324374037679	coad	-0.016438727863648334	33	66
POLE2	ENSP00000216367	0.9973324374037679	coad	-0.37460731251772983	4	8
POLE	ENSP00000322570	0.9973324374037679	coad	-0.2836167990355385	18	37
POLDIP3	ENSP00000252115	0.9973324374037679	coad	-0.025375631513169794	33	66
POLDIP2	ENSP00000475924	0.9973324374037679	coad	0.008524008128497212	33	66
POLD3	ENSP00000263681	0.9973324374037679	coad	0.02439210791625135	29	59
PNP	ENSP00000354532	0.9973324374037679	coad	-0.013888650403995548	33	66
POLD2	ENSP00000386105	0.9973324374037679	coad	0.05209521588566608	33	66
POLB	ENSP00000265421	0.9973324374037679	coad	-0.08119710620266901	33	66
POGZ	ENSP00000271715	0.9973324374037679	coad	0.06577194338803652	33	66
POGLUT3	ENSP00000315386	0.9973324374037679	coad	0.08997022824064499	33	66
POGLUT1	ENSP00000295588	0.9973324374037679	coad	0.0718113925454266	33	66
POGK	ENSP00000356849	0.9973324374037679	coad	-0.1727318293451902	4	15
POFUT2	ENSP00000339613	0.9973324374037679	coad	-0.018547307835307572	27	52
POFUT1	ENSP00000364902	0.9973324374037679	coad	0.08544416056080517	33	66
PODN	ENSP00000360555	0.9973324374037679	coad	0.014409093117558447	32	64
PNPT1	ENSP00000400646	0.9973324374037679	coad	0.04903724426429093	33	66
PNPO	ENSP00000399960	0.9973324374037679	coad	0.03187363936817694	33	66
PNPLA8	ENSP00000257694	0.9973324374037679	coad	0.016586733964733702	29	62
