,gain,neutral,loss
A1BG,10,92,7
A1BG-AS1,10,92,7
A1CF,3,96,10
A2M,24,78,7
A2M-AS1,24,78,7
A2ML1,24,78,7
A2ML1-AS1,24,78,7
A2ML1-AS2,24,78,7
A2MP1,24,78,7
A3GALT2,4,93,12
A4GALT,10,92,7
A4GNT,33,72,4
AAAS,4,99,6
AACS,2,102,5
AACSP1,3,78,28
AADAC,45,63,1
AADACL2,44,64,1
AADACL2-AS1,44,64,1
AADACL3,4,92,13
AADACL4,4,92,13
AADACP1,44,64,1
AADAT,1,87,21
AAGAB,6,93,10
AAK1,15,92,2
AAMDC,20,65,24
AAMP,3,89,17
AANAT,14,94,1
AAR2,19,86,4
AARD,48,59,2
AARS,9,93,7
AARS2,12,90,7
AARSD1,17,92,0
AARSP1,0,90,19
AASDH,4,88,17
AASDHPPT,7,70,32
AASS,14,82,13
AATBC,2,75,32
AATF,15,93,1
AATK,10,95,4
ABALON,22,86,1
ABAT,5,100,4
ABBA01000935.2,8,74,27
ABBA01006766.1,9,85,15
ABBA01031666.1,10,96,3
ABBA01045074.1,11,77,21
ABBA01045074.2,11,77,21
ABCA1,12,89,8
ABCA10,14,93,2
ABCA11P,3,74,32
ABCA12,3,87,19
ABCA13,24,85,0
ABCA17P,4,98,7
ABCA2,17,83,9
ABCA3,4,98,7
ABCA4,3,90,16
ABCA5,14,94,1
ABCA6,13,93,3
ABCA7,3,87,19
ABCA8,14,94,1
ABCA9,14,93,2
ABCA9-AS1,14,94,1
ABCB1,30,77,2
ABCB10,25,83,1
ABCB10P1,6,82,21
ABCB10P3,11,79,19
ABCB10P4,14,74,21
ABCB11,9,95,5
ABCB4,30,77,2
ABCB5,29,79,1
ABCB6,3,87,19
ABCB7,11,89,9
ABCB8,8,83,18
ABCB9,3,102,4
ABCC1,5,100,4
ABCC10,12,90,7
ABCC11,9,91,9
ABCC12,9,91,9
ABCC13,2,79,28
ABCC2,3,89,17
ABCC3,18,91,0
ABCC4,7,83,19
ABCC5,54,55,0
ABCC5-AS1,54,55,0
ABCC6,11,88,10
ABCC6P1,6,97,6
ABCC6P2,21,70,18
ABCC8,7,84,18
ABCC9,19,86,4
ABCD1,19,87,3
ABCD1P2,2,94,13
ABCD1P3,5,100,4
ABCD1P4,11,86,12
ABCD1P5,11,98,0
ABCD2,3,99,7
ABCD3,2,91,16
ABCD4,17,81,11
ABCE1,2,88,19
ABCF1,7,93,9
ABCF2,8,83,18
ABCF2P1,1,54,54
ABCF2P2,19,85,5
ABCF3,54,55,0
ABCG1,2,75,32
ABCG2,3,90,16
ABCG4,6,73,30
ABCG5,18,90,1
ABCG8,18,90,1
ABHD1,18,88,3
ABHD10,20,78,11
ABHD11,20,86,3
ABHD11-AS1,20,86,3
ABHD12,18,86,5
ABHD12B,18,81,10
ABHD13,10,81,18
ABHD14A,0,55,54
ABHD14A-ACY1,0,55,54
ABHD14B,0,55,54
ABHD15,14,92,3
ABHD15-AS1,14,92,3
ABHD16A,6,92,11
ABHD16B,16,89,4
ABHD17A,3,87,19
ABHD17AP1,14,93,2
ABHD17AP3,26,81,2
ABHD17AP4,20,81,8
ABHD17AP5,15,85,9
ABHD17AP6,12,82,15
ABHD17AP7,5,102,2
ABHD17AP8,5,99,5
ABHD17AP9,5,102,2
ABHD17B,12,84,13
ABHD17C,6,92,11
ABHD18,2,88,19
ABHD2,7,94,8
ABHD3,14,90,5
ABHD4,17,82,10
ABHD5,0,55,54
ABHD6,1,52,56
ABHD8,6,95,8
ABI1,5,89,15
ABI1P1,17,81,11
ABI2,9,91,9
ABI3,17,92,0
ABI3BP,20,80,9
ABITRAM,12,88,9
ABITRAMP1,7,76,26
ABL1,13,88,8
ABL2,17,90,2
ABLIM1,1,92,16
ABLIM2,4,74,31
ABLIM3,1,80,28
ABO,16,84,9
ABR,7,86,16
ABRA,46,60,3
ABRACL,4,99,6
ABRAXAS1,1,91,17
ABRAXAS2,1,91,17
ABT1,6,92,11
ABT1P1,0,92,17
ABTB1,23,80,6
ABTB2,11,85,13
AC000032.1,3,86,20
AC000035.1,17,88,4
AC000036.1,8,91,10
AC000041.1,17,88,4
AC000050.1,8,91,10
AC000058.1,34,73,2
AC000061.1,16,81,12
AC000065.1,34,73,2
AC000065.2,34,73,2
AC000067.1,19,81,9
AC000068.1,18,83,8
AC000068.2,18,83,8
AC000068.3,18,83,8
AC000072.1,18,83,8
AC000077.1,19,81,9
AC000078.1,18,83,8
AC000081.1,18,83,8
AC000082.1,18,83,8
AC000085.1,18,83,8
AC000089.1,19,81,9
AC000093.1,19,81,9
AC000095.1,17,84,8
AC000095.2,17,84,8
AC000095.3,17,84,8
AC000099.1,9,85,15
AC000111.1,16,81,12
AC000111.2,16,82,11
AC000113.1,18,87,4
AC000120.1,34,73,2
AC000120.2,34,73,2
AC000120.3,34,73,2
AC000123.1,9,85,15
AC000123.2,9,85,15
AC000123.3,9,85,15
AC000124.1,9,85,15
AC000362.1,9,85,15
AC000367.1,10,84,15
AC000372.1,10,84,15
AC000374.1,10,83,16
AC000403.1,12,79,18
AC001226.1,12,79,18
AC001226.2,12,79,18
AC002044.1,11,89,9
AC002044.2,11,89,9
AC002044.3,11,89,9
AC002056.1,8,90,11
AC002056.2,8,90,11
AC002057.1,10,84,15
AC002057.2,10,83,16
AC002059.1,17,88,4
AC002059.2,17,88,4
AC002059.3,17,88,4
AC002064.1,32,75,2
AC002064.2,32,75,2
AC002064.3,32,75,2
AC002066.1,17,81,11
AC002069.1,32,74,3
AC002069.2,32,74,3
AC002069.3,32,74,3
AC002070.1,4,101,4
AC002072.1,19,86,4
AC002074.1,34,72,3
AC002074.2,34,72,3
AC002075.1,35,70,4
AC002075.2,35,70,4
AC002076.1,34,71,4
AC002076.2,34,71,4
AC002090.1,15,93,1
AC002091.1,8,85,16
AC002091.2,8,85,16
AC002094.1,19,88,2
AC002094.2,19,88,2
AC002094.3,19,88,2
AC002094.4,19,88,2
AC002094.5,19,88,2
AC002101.1,16,84,9
AC002115.1,14,87,8
AC002116.1,14,87,8
AC002116.2,14,87,8
AC002127.1,32,74,3
AC002128.1,14,87,8
AC002128.2,14,87,8
AC002306.1,6,93,10
AC002310.1,4,102,3
AC002310.2,4,102,3
AC002310.3,4,102,3
AC002310.4,4,102,3
