,gain,neutral,loss
A1BG,10,80,19
A1CF,2,92,15
A2M,9,79,21
A2ML1,10,77,22
A3GALT2,9,92,8
A4GALT,3,78,28
A4GNT,14,83,12
AAAS,7,94,8
AACS,8,91,10
AADAC,14,84,11
AADACL2,14,84,11
AADACL3,8,88,13
AADACL4,8,88,13
AADAT,1,94,14
AAED1,1,84,24
AAGAB,3,77,29
AAK1,6,102,1
AAMDC,16,89,4
AAMP,3,101,5
AANAT,25,79,5
AAR2,15,90,4
AARD,38,68,3
AARS,15,81,13
AARS2,13,92,4
AARSD1,24,82,3
AASDH,7,94,8
AASDHPPT,9,92,8
AASS,17,87,5
AATF,19,85,5
AATK,28,76,5
AATK-AS1,28,76,5
ABAT,24,82,3
ABC13-47488600E17.1,5,77,27
ABC7-42404400C24.1,4,95,10
ABCA1,2,83,24
ABCA10,27,79,3
ABCA12,3,101,5
ABCA13,39,68,2
ABCA2,1,87,21
ABCA3,24,82,3
ABCA4,3,85,21
ABCA5,28,78,3
ABCA6,27,79,3
ABCA7,4,80,25
ABCA8,27,79,3
ABCA9,27,79,3
ABCB1,21,86,2
ABCB10,48,59,2
ABCB11,6,99,4
ABCB4,21,86,2
ABCB5,46,61,2
ABCB6,3,101,5
ABCB7,22,78,9
ABCB8,18,89,2
ABCB9,9,91,9
ABCC1,25,79,5
ABCC10,12,92,5
ABCC11,16,85,8
ABCC12,16,85,8
ABCC2,5,84,20
ABCC3,28,79,2
ABCC4,7,77,25
ABCC5,12,86,11
ABCC6,25,79,5
ABCC8,9,94,6
ABCC9,11,77,21
ABCD1,39,66,4
ABCD2,5,97,7
ABCD3,4,84,21
ABCD4,13,92,4
ABCE1,5,93,11
ABCF1,13,92,4
ABCF2,19,88,2
ABCF3,12,86,11
ABCG1,9,89,11
ABCG2,3,94,12
ABCG4,9,89,11
ABCG5,6,101,2
ABCG8,6,101,2
ABHD1,4,104,1
ABHD10,9,88,12
ABHD11,24,81,4
ABHD12,9,89,11
ABHD12B,26,82,1
ABHD13,6,80,23
ABHD14A,0,78,31
ABHD14B,0,78,31
ABHD15,16,84,9
ABHD16A,16,89,4
ABHD16B,30,76,3
ABHD17A,4,79,26
ABHD17B,4,79,26
ABHD17C,3,78,28
ABHD18,5,91,13
ABHD2,3,77,29
ABHD3,5,82,22
ABHD4,15,88,6
ABHD5,0,79,30
ABHD6,1,77,31
ABHD8,4,80,25
ABI1,6,96,7
ABI2,3,102,4
ABI3,25,82,2
ABI3BP,8,89,12
ABL1,1,87,21
ABL2,45,62,2
ABLIM1,5,86,18
ABLIM2,4,94,11
ABLIM3,14,85,10
ABO,2,87,20
ABR,3,67,39
ABRA,44,64,1
ABRACL,4,80,25
ABT1,14,91,4
ABTB1,12,84,13
ABTB2,9,94,6
AC002429.5,19,87,3
AC004381.6,23,82,4
AC005281.1,45,62,2
AC006116.20,6,84,19
AC009014.3,9,87,13
AC009477.8,6,99,4
AC010731.4,3,101,5
AC013269.5,6,99,4
AC025335.1,2,66,41
AC092835.2,9,99,1
AC113404.1,7,86,16
AC114783.1,6,99,4
AC131097.4,3,99,7
AC138517.6,10,87,12
AC138647.1,38,70,1
AC138969.4,24,80,5
ACAA1,0,80,29
ACAA2,2,69,38
ACACA,22,82,5
ACACB,11,91,7
ACAD10,13,89,7
ACAD11,13,83,13
ACAD8,12,85,12
ACAD9,12,84,13
ACADL,3,101,5
ACADM,3,87,19
ACADS,9,90,10
ACADSB,3,88,18
ACADVL,2,65,42
ACAN,3,77,29
ACAP1,2,65,42
ACAP2,12,85,12
ACAP3,8,91,10
ACAT1,7,92,10
ACAT2,3,81,25
ACBD3,45,63,1
ACBD4,22,84,3
ACBD5,5,98,6
ACBD6,46,61,2
ACBD7,7,92,10
ACCS,11,91,7
ACCSL,11,91,7
ACD,16,81,12
ACE,27,80,2
ACE2,22,79,8
ACER1,4,79,26
ACER2,6,68,35
ACER3,16,90,3
ACHE,19,87,3
ACIN1,18,85,6
ACKR1,55,52,2
ACKR2,0,79,30
ACKR3,3,100,6
ACKR4,13,83,13
ACLY,24,82,3
ACMSD,4,100,5
ACO1,6,82,21
ACO2,3,78,28
ACOD1,3,76,30
ACOT1,14,88,7
ACOT11,7,90,12
ACOT12,8,85,16
ACOT13,14,90,5
ACOT2,13,92,4
ACOT4,13,92,4
ACOT6,13,92,4
ACOT7,9,89,11
ACOT8,14,88,7
ACOT9,21,80,8
ACOX1,26,78,5
ACOX2,1,77,31
ACOX3,4,94,11
ACOXL,4,102,3
ACP1,2,106,1
ACP2,11,92,6
ACP5,3,80,26
ACP6,58,49,2
ACP7,8,87,14
ACPP,13,83,13
ACPT,4,83,22
ACR,5,73,31
ACRBP,12,77,20
ACRV1,11,88,10
ACSBG1,3,78,28
ACSBG2,4,79,26
ACSF2,28,79,2
ACSF3,11,77,21
ACSL1,4,87,18
ACSL3,3,101,5
ACSL4,31,71,7
ACSL5,5,85,19
ACSL6,9,86,14
ACSM1,23,82,4
