protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
SLC25A19	ENSP00000319574	0.9935191962465635	luad	0.002072110578122427	31	70
PFN1	ENSP00000225655	0.9935191962465635	luad	0.0006972826359275125	31	70
CNGB3	ENSP00000316605	0.9935191962465635	luad	-0.002453149573442448	28	64
PAFAH2	ENSP00000363400	0.9935191962465635	luad	-0.0012528047747713267	31	70
CXCR6	ENSP00000304414	0.9935191962465635	luad	0.009767921380913591	13	25
MED27	ENSP00000292035	0.9935191962465635	luad	-0.0016963310161212664	31	70
RABL3	ENSP00000273375	0.9935191962465635	luad	0.0007718375737015976	31	70
VPS13C	ENSP00000249837	0.9936877173679683	luad	-0.0006943102098880827	31	70
FADS3	ENSP00000278829	0.9936924938825086	luad	0.0020051831294363304	27	60
CYP27A1	ENSP00000258415	0.9936924938825086	luad	0.0033086945381318733	31	70
SV2A	ENSP00000358141	0.9938268510333459	luad	0.009414089192265107	5	19
MEST	ENSP00000223215	0.9939214708327508	luad	-0.0020150795321000636	29	68
ARPIN	ENSP00000350075	0.9939376474940241	luad	-0.008883155930385925	4	12
SERPINB5	ENSP00000372221	0.9939376474940241	luad	0.003975338610969104	31	70
PABPC1L	ENSP00000217073	0.9939386177036075	luad	-0.0034583278389745953	16	40
NR2C2AP	ENSP00000332823	0.9939797791092284	luad	-0.0011810472431722438	31	70
SMUG1	ENSP00000338606	0.9939797791092284	luad	0.001793081025261184	31	70
MCC	ENSP00000305617	0.9942505692821582	luad	-0.001124163599225736	31	70
GLRX5	ENSP00000328570	0.9942505692821582	luad	0.001199186187891152	31	70
COMMD7	ENSP00000278980	0.9943395834894398	luad	-0.0032126715591331845	22	51
SVEP1	ENSP00000363593	0.9945540016781397	luad	-0.0014624658103030153	31	70
MKI67	ENSP00000357643	0.9946155287496826	luad	0.0016063746759084063	31	70
DAP	ENSP00000230895	0.9947425364624458	luad	0.0010177130146485358	31	70
TNS3	ENSP00000312143	0.9949641601619009	luad	-0.0007217131290400969	31	70
FN1	ENSP00000352696	0.9949653455972629	luad	-0.001184220930794802	31	70
AGER	ENSP00000364195	0.9950386046727788	luad	0.0030070417551323336	31	70
DMKN	ENSP00000391036	0.995336570611789	luad	-0.00312286006161884	11	26
BAZ1A	ENSP00000353458	0.9954205129098095	luad	0.0008185401421718086	31	70
PKMYT1	ENSP00000262300	0.9954205129098095	luad	0.003468471056741085	21	42
EMSY	ENSP00000433205	0.9954205129098095	luad	-0.0007944444756400023	31	70
WHRN	ENSP00000354623	0.9954696928224555	luad	-0.0034532081346587418	6	18
ZSCAN26	ENSP00000479314	0.9955302022177661	luad	0.002027657217328463	28	54
LMLN	ENSP00000328611	0.9955911317618598	luad	0.003595214026757665	8	25
PLEKHM1	ENSP00000389913	0.9955918267002346	luad	-0.0012927916244030724	31	70
RHOT1	ENSP00000439737	0.9955918267002346	luad	0.0007030423786899415	31	70
RAC3	ENSP00000304283	0.9955918267002346	luad	-0.0023497692648285842	22	55
CRYL1	ENSP00000298248	0.9955918267002346	luad	-0.0012137054621543797	31	70
PPP1R18	ENSP00000274853	0.9955918267002346	luad	0.0008549404369070646	31	70
EEF1D	ENSP00000431763	0.9955918267002346	luad	0.0012295857333118332	25	60
TMEM126B	ENSP00000351737	0.9955918267002346	luad	0.0023286310414081662	26	63
C1QBP	ENSP00000225698	0.9955918267002346	luad	-0.0009075198813532637	31	70
TOMM5	ENSP00000313584	0.9955918267002346	luad	0.0015927589385544283	31	70
NDUFB7	ENSP00000215565	0.9955918267002346	luad	-0.0013126014362278698	31	70
ZCCHC3	ENSP00000484056	0.9955918267002346	luad	0.0013591028225871174	31	70
NCS1	ENSP00000361475	0.9955918267002346	luad	0.0015933171041613717	29	68
IL7R	ENSP00000306157	0.9955918267002346	luad	0.0028208338303643554	23	58
GUK1	ENSP00000375738	0.9955918267002346	luad	-0.0006330203668370726	31	70
S100A2	ENSP00000357697	0.9955918267002346	luad	0.005087063114812995	31	70
CA3	ENSP00000285381	0.9955918267002346	luad	0.0025475867859240386	31	70
PCSK9	ENSP00000303208	0.9958152388676196	luad	0.0019178094984551863	31	70
PPM1H	ENSP00000228705	0.9958152388676196	luad	0.0009968446570780137	31	70
TMEM53	ENSP00000361309	0.9960466615514835	luad	0.007918457648270233	6	10
TASOR	ENSP00000417509	0.9960466615514835	luad	-0.0003915991822946059	31	70
