,gain,neutral,loss
A1BG,22,67,16
A1BG-AS1,22,67,16
A1CF,6,90,9
A2M,18,70,17
A2M-AS1,16,72,17
A2ML1,13,63,29
A2MP1,20,74,11
A3GALT2,3,77,25
A4GALT,2,59,44
A4GNT,10,85,10
AA06,18,81,6
AAAS,13,73,19
AACS,16,79,10
AACSP1,5,82,18
AADAC,12,91,2
AADACL2,12,91,2
AADACL3,0,68,37
AADACL4,0,68,37
AADAT,3,78,24
AAED1,11,67,27
AAGAB,0,72,33
AAK1,16,78,11
AAMDC,8,71,26
AAMP,22,77,6
AANAT,11,70,24
AAR2,65,31,9
AARD,56,45,4
AARS,3,61,41
AARS2,25,76,4
AARSD1,8,67,30
AASDH,2,61,42
AASDHPPT,13,85,7
AASS,51,53,1
AATF,8,77,20
AATK,14,84,7
AATK-AS1,14,84,7
ABAT,10,76,19
ABCA1,15,69,21
ABCA10,15,74,16
ABCA11P,2,79,24
ABCA12,19,79,7
ABCA13,65,38,2
ABCA17P,15,80,10
ABCA2,20,74,11
ABCA3,15,80,10
ABCA4,4,84,17
ABCA5,14,75,16
ABCA6,15,76,14
ABCA7,13,67,25
ABCA8,15,76,14
ABCA9,15,76,14
ABCB1,54,49,2
ABCB10,18,81,6
ABCB11,25,78,2
ABCB4,54,49,2
ABCB5,65,38,2
ABCB6,26,76,3
ABCB7,25,78,2
ABCB8,52,51,2
ABCB9,10,59,36
ABCC1,9,68,28
ABCC10,21,70,14
ABCC11,16,81,8
ABCC12,16,84,5
ABCC13,4,81,20
ABCC2,1,68,36
ABCC3,12,76,17
ABCC4,54,44,7
ABCC5,10,78,17
ABCC5-AS1,10,78,17
ABCC6,9,70,26
ABCC6P1,11,73,21
ABCC6P2,9,68,28
ABCC8,23,76,6
ABCC9,19,82,4
ABCD1,25,78,2
ABCD2,15,86,4
ABCD3,4,85,16
ABCD4,1,52,52
ABCE1,4,78,23
ABCF1,9,87,9
ABCF2,52,51,2
ABCF3,11,80,14
ABCG1,9,81,15
ABCG2,2,76,27
ABCG4,10,72,23
ABCG5,15,69,21
ABCG8,15,69,21
ABHD1,15,79,11
ABHD10,15,87,3
ABHD11,28,48,29
ABHD12,57,38,10
ABHD12B,7,64,34
ABHD13,64,40,1
ABHD14A,8,88,9
ABHD14A-ACY1,8,88,9
ABHD14B,8,88,9
ABHD15,8,61,36
ABHD16A,9,87,9
ABHD16B,71,32,2
ABHD17A,8,64,33
ABHD17B,12,66,27
ABHD17C,2,75,28
ABHD2,1,71,33
ABHD3,2,28,75
ABHD4,17,58,30
ABHD5,8,90,7
ABHD6,10,82,13
ABHD8,6,62,37
ABI1,5,79,21
ABI2,15,44,46
ABI3,7,72,26
ABI3BP,14,89,2
ABL1,13,64,28
ABL2,18,69,18
ABLIM1,2,84,19
ABLIM2,5,78,22
ABLIM3,22,75,8
ABO,19,74,12
ABR,1,31,73
ABRA,54,47,4
ABRACL,9,76,20
ABT1,26,73,6
ABTB1,18,85,2
ABTB2,15,84,6
AC000099.1,51,53,1
AC000124.1,50,53,2
AC002115.5,15,65,25
AC002398.5,16,63,26
AC002454.1,55,48,2
AC002463.3,50,53,2
AC002480.3,67,37,1
AC002511.1,13,72,20
AC003051.1,12,78,15
AC003102.3,7,67,31
AC003665.1,10,73,22
AC003958.2,21,71,13
AC003984.1,53,50,2
AC004019.13,3,49,53
AC004562.1,12,79,14
AC004603.4,41,62,2
AC004862.6,52,51,2
AC004893.11,35,53,17
AC005022.1,63,41,1
AC005029.1,63,41,1
AC005062.2,67,37,1
AC005152.3,12,82,11
AC005235.1,25,79,1
AC005264.2,7,53,45
AC005358.3,0,45,60
AC005550.4,66,38,1
AC005592.1,11,83,11
AC005594.3,7,49,49
AC006004.1,44,59,2
AC006115.3,11,71,23
AC006129.4,26,74,5
AC006145.4,53,50,2
AC006196.1,21,81,3
AC006372.4,60,37,8
AC007038.7,22,82,1
AC007040.7,18,85,2
AC007099.1,22,82,1
AC007131.1,22,81,2
AC007163.3,25,78,2
AC007163.6,25,73,7
AC007182.6,6,67,32
AC007246.3,20,65,20
AC007249.3,19,82,4
AC007359.6,13,68,24
AC007365.1,19,84,2
AC007386.2,19,84,2
AC007392.3,20,84,1
AC007392.4,20,84,1
AC007403.1,20,84,1
AC007403.2,20,84,1
AC007403.3,20,84,1
AC007405.4,16,72,17
AC007461.2,12,82,11
AC007463.2,30,72,3
AC007740.1,26,76,3
AC007750.5,32,70,3
AC007773.2,13,70,22
AC007879.2,28,76,1
AC007880.1,19,84,2
AC007966.1,21,82,2
AC007970.1,21,83,1
AC008697.1,11,85,9
AC008703.1,11,85,9
AC009120.4,6,78,21
AC009227.2,19,83,3
AC009264.1,48,55,2
AC009299.2,20,82,3
AC009299.3,20,82,3
AC009473.1,67,37,1
AC009501.4,17,82,6
AC009518.4,47,55,3
AC009948.5,22,82,1
AC010090.1,18,82,5
AC010127.3,22,79,4
AC010226.4,7,76,22
AC010524.2,11,67,27
AC010731.4,23,80,2
AC010884.1,19,85,1
AC010890.1,19,84,2
AC010975.1,21,83,1
AC010987.6,20,84,1
AC011343.1,10,84,11
AC011518.1,15,75,15
AC011609.3,17,83,5
AC011738.4,58,44,3
AC011747.4,34,68,3
AC011747.7,31,71,3
AC011899.9,61,40,4
AC012075.2,20,84,1
AC012309.5,9,53,43
AC012462.2,19,82,4
AC012494.1,20,83,2
AC012507.3,16,81,8
AC012594.1,17,82,6
AC015922.6,0,44,61
AC016582.2,9,58,38
AC016629.8,43,51,11
AC016735.2,22,77,6
AC016738.3,14,88,3
AC016910.1,18,82,5
AC016995.3,14,68,23
AC017048.4,22,81,2
AC017060.1,67,37,1
AC018464.3,52,52,1
AC018470.4,19,76,10
AC018647.3,65,39,1
AC018705.5,68,36,1
AC018742.1,25,77,3
AC018766.5,15,65,25
AC018799.1,21,82,2
AC019048.1,29,73,3
AC019117.1,67,37,1
AC019118.2,27,73,5
AC019181.2,22,80,3
AC020571.3,19,80,6
AC022007.5,6,77,22
AC022173.2,46,57,2
AC022311.1,18,82,5
AC024592.9,7,53,45
AC027269.2,61,43,1
AC068831.10,1,68,36
AC068858.1,14,88,3
AC069277.1,6,90,9
AC072062.1,19,82,4
AC073128.10,22,76,7
AC073133.1,59,44,2
AC073283.4,18,66,21
AC073321.3,18,85,2
AC073628.1,19,84,2
AC074138.3,10,49,46
AC074286.1,21,82,2
AC078941.1,20,84,1
AC079117.1,19,85,1
AC079145.4,26,76,3
AC079610.2,22,81,2
AC079776.3,18,85,2
AC083949.1,20,67,18
AC084125.4,57,43,5
AC087859.1,9,90,6
AC090044.1,16,84,5
AC090505.6,13,87,5
AC091729.9,51,47,7
AC091814.2,19,77,9
AC091878.1,15,61,29
AC091969.1,10,86,9
AC092295.7,10,49,46
AC093375.1,21,81,3
AC093391.2,18,65,22
AC093590.1,25,79,1
AC093627.10,72,32,1
AC093642.3,26,76,3
AC093690.1,17,81,7
AC095067.1,64,40,1
AC096559.1,26,76,3
AC096570.1,24,78,3
AC097468.4,24,77,4
AC097500.2,21,82,2
AC097662.2,18,84,3
AC098823.3,16,81,8
AC099342.1,67,37,1
AC104134.2,16,68,21
AC104653.1,20,79,6
AC104654.1,21,79,5
AC104654.2,21,79,5
AC104655.2,19,85,1
AC104777.2,18,83,4
AC104777.4,18,83,4
AC105053.3,17,86,2
AC105253.1,21,79,5
AC105339.1,1,64,40
AC107070.1,27,73,5
AC107622.1,5,87,13
AC108025.2,20,80,5
AC109828.1,16,78,11
AC113607.2,37,64,4
AC125421.1,11,76,18
AC137932.6,13,85,7
AC144449.1,20,81,4
AC147651.4,58,45,2
AC159540.1,21,83,1
AC226118.1,60,43,2
ACAA1,12,88,5
ACAA2,5,40,60
ACACA,7,66,32
ACACB,7,68,30
ACAD10,6,59,40
ACAD11,13,90,2
ACAD8,25,73,7
ACAD9,12,82,11
ACADL,21,83,1
ACADM,1,78,26
ACADS,9,58,38
ACADSB,6,84,15
ACADVL,3,39,63
ACAN,1,72,32
ACAP1,4,39,62
ACAP2,11,79,15
ACAP3,4,77,24
ACAT1,6,54,45
ACAT2,18,81,6
ACBD3,17,74,14
ACBD4,7,74,24
ACBD5,5,78,22
ACBD6,19,74,12
ACBD7,5,74,26
ACCS,16,86,3
ACCSL,16,86,3
ACD,3,72,30
ACE,12,78,15
ACE2,25,78,2
ACER1,6,52,47
ACER2,19,68,18
ACER3,13,83,9
ACHE,35,48,22
ACIN1,10,62,33
ACKR2,9,91,5
ACKR3,22,82,1
ACKR4,13,90,2
ACLY,9,68,28
ACMSD,16,66,23
ACN9,49,51,5
ACO1,18,79,8
ACO2,2,53,50
ACOT1,1,49,55
ACOT11,1,82,22
ACOT12,1,83,21
ACOT13,19,72,14
ACOT2,1,49,55
ACOT4,1,50,54
ACOT6,1,50,54
ACOT7,2,63,40
ACOT8,72,33,0
ACOT9,25,78,2
ACOX1,14,66,25
ACOX2,9,89,7
ACOX3,5,77,23
ACOXL,23,81,1
ACP1,47,53,5
ACP2,8,68,29
ACP5,6,57,42
ACP6,24,78,3
ACPL2,25,78,2
ACPP,12,91,2
ACPT,9,69,27
ACR,11,67,27
ACRBP,23,74,8
ACRC,25,78,2
ACRV1,13,78,14
ACSBG1,0,75,30
ACSBG2,6,54,45
ACSF2,12,77,16
ACSF3,13,85,7
ACSL1,5,72,28
ACSL3,18,85,2
ACSL4,25,78,2
ACSL5,4,83,18
ACSL6,5,76,24
ACSM1,24,69,12
ACSM2A,24,69,12
ACSM2B,24,69,12
ACSM3,20,68,17
ACSM4,20,75,10
ACSM5,24,68,13
ACSS1,60,38,7
ACSS2,65,32,8
ACSS3,14,87,4
ACTA1,18,81,6
ACTA2,9,79,17
ACTB,38,47,20
ACTBL2,8,83,14
ACTC1,2,64,39
ACTG1,15,83,7
ACTG1P4,1,86,18
ACTG2,16,88,1
ACTL10,66,31,8
ACTL6A,11,82,12
ACTL6B,35,48,22
ACTL7A,20,75,10
ACTL7B,20,75,10
ACTL8,0,69,36
ACTL9,4,46,55
ACTN1,7,66,32
ACTN1-AS1,7,66,32
ACTN2,17,70,18
ACTN3,11,75,19
ACTN4,15,64,26
ACTR10,5,63,37
ACTR1A,1,62,42
ACTR1B,21,83,1
ACTR2,19,80,6
ACTR3,21,78,6
ACTR3B,47,30,28
ACTR3BP2,24,80,1
ACTR3BP5,3,88,14
ACTR3C,53,50,2
ACTR5,68,35,2
ACTR6,14,73,18
ACTR8,12,88,5
ACTRT1,25,78,2
ACTRT2,1,72,32
ACTRT3,15,81,9
ACVR1,22,81,2
ACVR1B,20,81,4
ACVR1C,22,81,2
ACVR2A,19,80,6
ACVR2B,10,90,5
ACVR2B-AS1,10,90,5
ACVRL1,18,83,4
ACY1,8,89,8
ACY3,17,81,7
ACYP1,7,64,34
ACYP2,18,69,18
AD000090.2,14,66,25
ADA,70,32,3
ADAD1,3,83,19
ADAD2,10,87,8
ADAL,0,52,53
ADAM10,1,52,52
ADAM11,7,65,33
ADAM12,6,85,14
ADAM15,29,70,6
ADAM17,19,83,3
ADAM18,32,55,18
ADAM19,11,80,14
ADAM1A,6,60,39
ADAM2,30,56,19
ADAM20,8,65,32
ADAM20P1,8,65,32
ADAM21,8,65,32
ADAM21P1,7,68,30
ADAM22,52,51,2
ADAM23,23,80,2
ADAM28,20,39,46
ADAM29,3,75,27
ADAM30,24,68,13
ADAM32,33,50,22
ADAM33,39,38,28
ADAM3A,30,55,20
ADAM5,33,52,20
ADAM6,31,53,21
ADAM7,19,40,46
ADAM8,9,85,11
ADAM9,32,51,22
ADAMDEC1,19,40,46
ADAMTS1,4,78,23
ADAMTS10,5,45,55
ADAMTS12,17,82,6
ADAMTS13,19,73,13
ADAMTS14,5,85,15
ADAMTS15,19,79,7
ADAMTS16,28,70,7
ADAMTS17,2,75,28
ADAMTS18,8,88,9
ADAMTS19,2,84,19
ADAMTS2,5,82,18
ADAMTS20,14,88,3
ADAMTS3,3,84,18
ADAMTS4,25,66,14
ADAMTS5,4,78,23
ADAMTS6,4,63,38
ADAMTS7,0,75,30
ADAMTS7P1,2,69,34
ADAMTS8,18,80,7
ADAMTS9,12,89,4
ADAMTS9-AS2,13,88,4
ADAMTSL1,19,78,8
ADAMTSL2,17,73,15
ADAMTSL3,2,66,37
ADAMTSL4,16,54,35
ADAMTSL4-AS1,16,54,35
ADAMTSL5,8,69,28
ADAP1,59,44,2
ADAP2,8,62,35
ADAR,18,78,9
ADARB1,7,80,18
ADARB2,12,86,7
ADARB2-AS1,12,86,7
ADAT1,6,81,18
ADAT2,11,86,8
ADAT3,8,64,33
ADC,1,74,30
