,gain,neutral,loss
A1BG,4,85,6
A1BG-AS1,4,85,6
A1CF,17,75,3
A2M,7,87,1
A2M-AS1,7,87,1
A2ML1,7,87,1
A2MP1,7,87,1
A3GALT2,2,87,6
A4GALT,1,82,12
A4GNT,8,87,0
AA06,2,82,11
AAAS,7,86,2
AACS,4,86,5
AACSP1,0,86,9
AADAC,10,85,0
AADACL2,4,90,1
AADACL2-AS1,4,90,1
AADACL3,3,87,5
AADACL4,3,88,4
AADACP1,10,85,0
AADAT,2,83,10
AAED1,1,82,12
AAGAB,0,86,9
AAK1,7,88,0
AAMDC,3,87,5
AAMP,6,87,2
AANAT,6,82,7
AAR2,8,86,1
AARD,15,79,1
AARS,1,82,12
AARS2,5,90,0
AARSD1,1,84,10
AASDH,1,86,8
AASDHPPT,1,88,6
AASS,11,82,2
AATBC,6,84,5
AATF,1,87,7
AATK,6,84,5
ABALON,9,85,1
ABAT,2,87,6
ABCA1,1,82,12
ABCA10,3,85,7
ABCA11P,1,88,6
ABCA12,4,89,2
ABCA13,9,82,4
ABCA17P,2,88,5
ABCA2,3,81,11
ABCA3,3,87,5
ABCA4,6,86,3
ABCA5,3,85,7
ABCA6,3,85,7
ABCA7,1,87,7
ABCA8,3,85,7
ABCA9,3,85,7
ABCA9-AS1,3,85,7
ABCB1,10,80,5
ABCB10,23,71,1
ABCB11,6,89,0
ABCB4,10,80,5
ABCB5,11,80,4
ABCB6,4,89,2
ABCB7,4,80,11
ABCB8,11,82,2
ABCB9,6,84,5
ABCC1,2,88,5
ABCC10,5,90,0
ABCC11,0,88,7
ABCC12,0,88,7
ABCC13,3,85,7
ABCC2,17,74,4
ABCC3,6,81,8
ABCC4,3,84,8
ABCC5,9,85,1
ABCC5-AS1,9,85,1
ABCC6,2,88,5
ABCC6P1,3,87,5
ABCC6P2,2,88,5
ABCC8,3,83,9
ABCC9,6,88,1
ABCD1,6,74,15
ABCD2,7,87,1
ABCD3,5,88,2
ABCD4,4,86,5
ABCE1,2,84,9
ABCF1,4,91,0
ABCF2,11,82,2
ABCF3,9,85,1
ABCG1,3,86,6
ABCG2,2,86,7
ABCG4,1,89,5
ABCG5,8,87,0
ABCG8,8,87,0
ABHD1,7,88,0
ABHD10,7,88,0
ABHD11,11,80,4
ABHD11-AS1,11,80,4
ABHD12,8,86,1
ABHD12B,2,91,2
ABHD13,4,82,9
ABHD14A,6,85,4
ABHD14A-ACY1,6,85,4
ABHD14B,6,85,4
ABHD15,4,81,10
ABHD16A,4,91,0
ABHD16B,14,80,1
ABHD17A,2,85,8
ABHD17B,1,81,13
ABHD17C,0,84,11
ABHD18,1,84,10
ABHD2,0,86,9
ABHD3,4,89,2
ABHD4,4,89,2
ABHD5,2,89,4
ABHD6,2,88,5
ABHD8,8,84,3
ABI1,18,73,4
ABI2,4,89,2
ABI3,2,83,10
ABI3BP,9,86,0
ABL1,2,80,13
ABL2,24,71,0
ABLIM1,17,73,5
ABLIM2,1,87,7
ABLIM3,2,83,10
ABO,2,81,12
ABR,2,81,12
ABRA,14,80,1
ABRACL,1,92,2
ABRAXAS1,2,85,8
ABRAXAS2,21,71,3
ABT1,4,91,0
ABTB1,6,88,1
ABTB2,4,83,8
ACAA1,2,88,5
ACAA2,2,88,5
ACACA,1,87,7
ACACB,4,87,4
ACAD10,4,87,4
ACAD11,7,88,0
ACAD8,1,88,6
ACAD9,7,88,0
ACADL,5,88,2
ACADM,4,89,2
ACADS,4,86,5
ACADSB,20,71,4
ACADVL,2,84,9
ACAN,1,85,9
ACAP1,2,84,9
ACAP2,9,85,1
ACAP3,5,85,5
ACAT1,2,87,6
ACAT2,1,92,2
ACBD3,23,71,1
ACBD3-AS1,23,71,1
ACBD4,3,82,10
ACBD5,18,73,4
ACBD6,26,69,0
ACBD7,18,73,4
ACBD7-DCLRE1CP1,18,73,4
ACCS,3,85,7
ACCSL,3,85,7
ACD,1,83,11
ACE,4,85,6
ACE2,4,77,14
ACER1,2,87,6
ACER2,2,83,10
ACER3,3,87,5
ACHE,10,80,5
ACIN1,4,89,2
ACKR1,23,72,0
ACKR2,4,87,4
ACKR3,5,88,2
ACKR4,7,88,0
ACLY,4,82,9
ACMSD,5,89,1
ACO1,2,84,9
ACO2,1,83,11
ACOD1,5,84,6
ACOT1,4,86,5
ACOT11,4,89,2
ACOT12,1,85,9
ACOT13,5,90,0
ACOT2,4,86,5
ACOT4,4,86,5
ACOT6,4,86,5
ACOT7,3,86,6
ACOT8,8,85,2
ACOT9,4,77,14
ACOX1,5,83,7
ACOX2,2,88,5
ACOX3,1,87,7
ACOXL,5,89,1
ACOXL-AS1,5,89,1
ACP1,7,88,0
ACP2,4,85,6
ACP4,4,85,6
ACP5,5,88,2
ACP6,23,72,0
ACP7,4,86,5
ACPP,7,88,0
ACR,2,81,12
ACRBP,7,87,1
ACRV1,1,88,6
ACSBG1,0,85,10
ACSBG2,2,87,6
ACSF2,5,81,9
ACSF3,1,83,11
ACSL1,1,82,12
ACSL3,4,89,2
ACSL4,4,79,12
ACSL5,17,74,4
ACSL6,1,85,9
ACSM1,2,87,6
ACSM2A,2,87,6
ACSM2B,2,87,6
ACSM3,3,86,6
ACSM4,7,87,1
ACSM5,2,87,6
ACSM6,18,73,4
ACSS1,8,86,1
ACSS2,9,85,1
ACSS3,4,87,4
ACTA1,23,71,1
ACTA2,16,75,4
ACTA2-AS1,16,75,4
ACTB,10,81,4
ACTBL2,1,86,8
ACTC1,1,82,12
ACTG1,7,82,6
ACTG1P17,0,85,10
ACTG1P20,3,86,6
ACTG1P4,5,87,3
ACTG2,7,88,0
ACTL10,10,84,1
ACTL6A,9,85,1
ACTL6B,10,80,5
ACTL7A,1,82,12
ACTL7B,1,82,12
ACTL8,2,87,6
ACTL9,4,87,4
ACTN1,2,88,5
ACTN1-AS1,2,88,5
ACTN2,23,71,1
ACTN3,5,88,2
ACTN4,5,85,5
ACTR10,1,90,4
ACTR1A,19,73,3
ACTR1B,6,89,0
ACTR2,7,88,0
ACTR3,10,85,0
ACTR3B,12,81,2
ACTR3BP2,6,89,0
ACTR3BP5,17,74,4
ACTR3C,11,82,2
ACTR5,7,87,1
ACTR6,4,87,4
ACTR8,2,88,5
ACTRT1,5,75,15
ACTRT2,4,86,5
ACTRT3,11,84,0
ACVR1,6,89,0
ACVR1B,7,86,2
ACVR1C,6,89,0
ACVR2A,5,89,1
ACVR2B,2,88,5
ACVR2B-AS1,2,88,5
ACVRL1,7,86,2
ACY1,6,85,4
ACY3,7,86,2
ACYP1,2,88,5
ACYP2,6,89,0
ADA,7,87,1
ADA2,1,83,11
ADAD1,1,85,9
ADAD2,0,83,12
ADAL,0,79,16
ADAM10,0,84,11
ADAM11,0,84,11
ADAM12,20,72,3
ADAM15,26,69,0
ADAM17,7,88,0
ADAM18,8,84,3
ADAM19,1,85,9
ADAM1A,4,87,4
ADAM2,8,84,3
ADAM20,2,88,5
ADAM20P1,2,88,5
ADAM21,2,88,5
ADAM21P1,2,88,5
ADAM22,10,80,5
ADAM23,4,89,2
ADAM28,8,81,6
ADAM29,1,83,11
ADAM30,3,89,3
ADAM32,8,84,3
ADAM33,9,84,2
ADAM3A,11,82,2
ADAM3B,0,88,7
ADAM5,8,84,3
ADAM6,3,90,2
ADAM7,8,81,6
ADAM8,20,72,3
ADAM9,8,84,3
ADAMDEC1,8,81,6
ADAMTS1,4,85,6
ADAMTS10,4,87,4
ADAMTS12,3,91,1
ADAMTS13,2,81,12
ADAMTS14,17,76,2
ADAMTS15,1,88,6
ADAMTS16,3,90,2
ADAMTS17,0,84,11
ADAMTS18,0,83,12
ADAMTS19,1,85,9
ADAMTS19-AS1,1,85,9
ADAMTS2,1,85,9
ADAMTS20,7,86,2
ADAMTS3,2,87,6
ADAMTS4,25,70,0
ADAMTS5,4,85,6
ADAMTS6,1,86,8
ADAMTS7,0,85,10
ADAMTS7P1,0,86,9
ADAMTS8,1,89,5
ADAMTS9,2,88,5
ADAMTS9-AS1,2,88,5
ADAMTS9-AS2,2,88,5
ADAMTSL1,2,83,10
ADAMTSL2,2,80,13
ADAMTSL3,0,86,9
