Name,amplifications,neutral,deletions,average
DOHH,0.0,22.0,78.0,-0.3795746654174409
DOK1,21.0,74.0,5.0,0.14991379043283007
DOK2,4.0,33.0,63.0,-0.34013098305621997
DOK3,19.0,59.0,22.0,0.070463025493136
DOK4,3.0,44.0,53.0,-0.21347399999999986
DOK5,40.0,59.0,1.0,0.25441196887809003
DOK6,6.0,43.0,51.0,-0.19735352907858655
DOK7,13.0,55.0,32.0,-0.04400176549554298
DOLK,6.0,58.0,36.0,-0.11259699999999999
DOLPP1,11.0,52.0,37.0,-0.09487270925541998
DONSON,8.0,62.0,30.0,-0.0655995754464282
DOPEY1,16.0,61.0,23.0,0.009767227936779916
DOPEY2,6.0,62.0,32.0,-0.10368615001918714
DOT1L,0.0,21.0,79.0,-0.39816805060397803
DPAGT1,14.0,66.0,20.0,0.003031374196319999
DPCD,6.0,61.0,33.0,-0.11428699999999997
DPEP1,3.0,31.0,66.0,-0.293567989850844
DPEP3,1.0,37.0,62.0,-0.284773
DPF1,20.0,61.0,19.0,0.0882913356897203
DPF2,20.0,76.0,4.0,0.15629580000817703
DPF3,2.0,60.0,38.0,-0.12717069765342
DPH1,2.0,39.0,59.0,-0.24728125398141013
DPH2,19.0,73.0,8.0,0.13832200000000003
DPH3,10.0,73.0,17.0,0.012647721074882101
DPH3P1,45.0,51.0,4.0,0.30369999999999997
DPH5,9.0,80.0,11.0,0.07116365770630009
DPH6,1.0,60.0,39.0,-0.1439276399495509
DPH7,11.0,55.0,34.0,-0.07536701273766702
DPM1,40.0,58.0,2.0,0.2710039756848699
DPM2,7.0,63.0,30.0,-0.07376785054528001
DPM3,36.0,63.0,1.0,0.2641060000000001
DPP3,13.0,83.0,4.0,0.12181424425947601
DPP4,30.0,68.0,2.0,0.22563415863648997
DPP6,19.0,71.0,10.0,0.08793270367042011
DPP7,11.0,56.0,33.0,-0.055869908724283004
DPP8,8.0,63.0,29.0,-0.09057538246589202
DPP9,1.0,28.0,71.0,-0.33767340607243584
DPPA2,23.0,68.0,9.0,0.12295599999999995
DPPA3,36.0,47.0,17.0,0.17214100000000002
DPPA4,24.0,67.0,9.0,0.12727779852827792
DPPA5,12.0,72.0,16.0,0.0317349999999999
DPRX,8.0,52.0,40.0,-0.141448224728874
